0,계약일,가격,타입
1,2019.10.21,66000,101타입
2,2019.08.31,69000,101타입
3,2019.08.25,72700,101타입
4,2018.10.20,73000,101타입
5,2018.08.15,69000,101타입
6,2018.07.18,65000,101타입
7,2018.06.23,62000,101타입
8,2018.02.06,59700,101타입
9,2017.11.25,56000,101타입
10,2017.11.16,56000,101타입
11,2017.11.01,53000,101타입
12,2017.11.01,53500,101타입
13,2017.10.27,49000,101타입
14,2017.10.21,55000,101타입
15,2017.10.14,54000,101타입
16,2017.10.13,53000,101타입
17,2017.07.31,52000,101타입
18,2017.06.30,51900,101타입
19,2017.06.12,52000,101타입
20,2017.06.10,52000,101타입
21,2017.06.05,51800,101타입
22,2016.11.03,46400,101타입
23,2016.10.20,50000,101타입
24,2016.10.07,52000,101타입
25,2016.09.02,48000,101타입
26,2016.08.30,47500,101타입
27,2016.08.27,47900,101타입
28,2016.08.10,49000,101타입
29,2016.05.10,45000,101타입
30,2016.05.02,42000,101타입
31,2016.04.25,43000,101타입
32,2016.04.11,42750,101타입
33,2016.04.05,42900,101타입
34,2016.03.09,42800,101타입
35,2016.02.20,40200,101타입
36,2016.02.15,41400,101타입
37,2016.02.03,41900,101타입
38,2015.12.29,40700,101타입
39,2015.12.22,41000,101타입
40,2015.11.13,42800,101타입
41,2015.10.31,43300,101타입
42,2015.09.18,38300,101타입
43,2015.08.05,40000,101타입
44,2015.07.06,41000,101타입
45,2015.07.01,41900,101타입
46,2015.06.27,37750,101타입
47,2015.06.25,41000,101타입
48,2015.04.23,38500,101타입
49,2015.03.28,40000,101타입
50,2015.03.13,38000,101타입
51,2015.02.04,37000,101타입
52,2015.01.30,38000,101타입
53,2014.11.07,32300,101타입
54,2014.09.30,35700,101타입
55,2014.09.30,38000,101타입
56,2014.05.01,34000,101타입
57,2014.03.26,35000,101타입
58,2014.02.03,32000,101타입
59,2014.01.21,33000,101타입
60,2014.01.16,36000,101타입
61,2013.11.16,35500,101타입
62,2013.09.11,36750,101타입
63,2013.06.12,32500,101타입
64,2013.05.15,32450,101타입
65,2013.04.20,34900,101타입
66,2013.04.02,34000,101타입
67,2013.03.02,31500,101타입
68,2012.12.15,29500,101타입
69,2012.01.05,34500,101타입
70,2011.08.04,38700,101타입
71,2011.06.21,38250,101타입
72,2011.05.10,37500,101타입
73,2011.05.02,37400,101타입
74,2011.03.07,39500,101타입
75,2010.07.31,38800,101타입
76,2010.07.09,35300,101타입
77,2010.06.16,33000,101타입
78,2010.04.10,43000,101타입
79,2010.02.09,47000,101타입
80,2009.12.22,44500,101타입
81,2009.11.11,48700,101타입
82,2009.11.03,49000,101타입
83,2009.08.30,45000,101타입
84,2009.07.29,42900,101타입
85,2009.07.23,45300,101타입
86,2009.05.25,44500,101타입
87,2009.05.11,45000,101타입
88,2009.03.10,45000,101타입
89,2007.12.12,25500,101타입
90,2007.12.08,47400,101타입
91,2007.09.11,45000,101타입
92,2007.09.08,43200,101타입
93,2007.02.16,50000,101타입
94,2007.01.15,46600,101타입
95,2006.11.07,45900,101타입
96,2006.11.03,44000,101타입
97,2006.10.31,43500,101타입
98,2006.10.13,43000,101타입
99,2006.07.26,42900,101타입
100,2006.07.17,39800,101타입
101,2006.07.01,41000,101타입
102,2006.05.12,34400,101타입
103,2006.04.10,36700,101타입
104,2006.04.01,30000,101타입
105,2006.03.23,30000,101타입
106,2006.03.22,31000,101타입
107,2006.03.13,29800,101타입
108,2006.02.28,28900,101타입
109,2006.02.28,30000,101타입
110,2018.09.09,75000,102S
111,2018.08.27,70000,102S
112,2018.08.09,70000,102S
113,2018.05.13,58000,102S
114,2018.03.24,57300,102S
115,2018.03.12,62000,102S
