0,계약일,가격,타입
1,2019.06.28,72000,105타입
2,2018.08.23,63000,105타입
3,2018.08.06,64000,105타입
4,2018.07.18,65000,105타입
5,2018.03.14,59500,105타입
6,2018.02.09,60000,105타입
7,2018.01.27,58700,105타입
8,2018.01.23,59800,105타입
9,2017.12.31,50800,105타입
10,2017.12.26,58000,105타입
11,2017.12.02,50150,105타입
12,2017.07.22,53800,105타입
13,2017.05.31,52000,105타입
14,2017.05.30,54900,105타입
15,2017.04.20,51500,105타입
16,2016.08.25,49000,105타입
17,2016.07.12,50000,105타입
18,2016.07.05,50500,105타입
19,2016.06.08,46500,105타입
20,2016.05.18,47000,105타입
21,2016.02.18,47800,105타입
22,2016.02.12,46500,105타입
23,2016.01.23,47800,105타입
24,2015.12.26,45000,105타입
25,2015.11.16,46800,105타입
26,2015.11.03,44500,105타입
27,2015.10.14,46000,105타입
28,2015.08.12,45500,105타입
29,2015.08.08,43000,105타입
30,2015.07.23,44000,105타입
31,2015.07.11,42000,105타입
32,2015.07.07,41500,105타입
33,2015.04.22,41800,105타입
34,2015.03.28,41000,105타입
35,2015.02.27,39000,105타입
36,2015.02.26,40500,105타입
37,2015.02.24,38300,105타입
38,2015.02.05,41000,105타입
39,2015.01.14,38700,105타입
40,2015.01.13,34000,105타입
41,2015.01.10,39800,105타입
42,2015.01.03,40500,105타입
43,2014.12.25,38500,105타입
44,2014.11.26,38000,105타입
45,2014.11.16,36000,105타입
46,2014.11.01,37400,105타입
47,2014.09.12,38400,105타입
48,2013.12.21,36750,105타입
49,2013.11.26,38500,105타입
50,2013.10.24,38450,105타입
51,2013.10.09,37000,105타입
52,2013.10.04,37800,105타입
53,2013.07.26,36500,105타입
54,2013.07.08,37500,105타입
55,2013.06.26,29000,105타입
56,2013.06.20,36700,105타입
57,2013.05.02,34500,105타입
58,2013.04.29,35000,105타입
59,2013.02.12,35000,105타입
60,2012.12.27,39700,105타입
61,2012.12.27,36400,105타입
62,2012.12.17,35000,105타입
63,2012.11.26,35000,105타입
64,2012.05.17,40500,105타입
65,2012.05.01,38500,105타입
66,2012.04.18,38150,105타입
67,2011.12.21,41500,105타입
68,2011.11.30,40300,105타입
69,2011.09.03,39000,105타입
70,2011.08.08,40300,105타입
71,2011.07.27,36000,105타입
72,2011.04.16,42500,105타입
73,2011.04.09,44000,105타입
74,2011.01.27,38500,105타입
75,2011.01.25,41500,105타입
76,2010.10.04,41000,105타입
77,2010.02.01,47500,105타입
78,2009.11.26,44000,105타입
79,2009.08.25,48500,105타입
80,2009.08.11,46500,105타입
81,2009.06.26,42000,105타입
82,2009.06.25,46500,105타입
83,2009.06.16,46000,105타입
84,2009.02.19,45000,105타입
85,2006.05.30,32000,105타입
86,2006.05.06,34000,105타입
87,2006.04.14,28900,105타입
88,2006.04.03,27000,105타입
89,2006.03.03,34000,105타입
90,2006.02.14,33000,105타입
91,2006.01.17,29000,105타입
92,2006.01.16,31400,105타입
