0,계약일,가격,타입
1,2019.10.12,130000,109타입
2,2019.10.12,128000,109타입
3,2019.08.24,120000,109타입
4,2019.08.01,121000,109타입
5,2019.07.15,126000,109타입
6,2019.07.13,124000,109타입
7,2019.07.03,120500,109타입
8,2019.07.02,114500,109타입
9,2019.06.28,117000,109타입
10,2019.05.25,121000,109타입
11,2019.05.11,114600,109타입
12,2019.04.10,111000,109타입
13,2019.04.06,103000,109타입
14,2019.04.05,100000,109타입
15,2018.10.03,123500,109타입
16,2018.08.13,113500,109타입
17,2018.08.09,116750,109타입
18,2018.07.26,107000,109타입
19,2018.03.31,104400,109타입
20,2018.03.12,87500,109타입
21,2018.01.17,89800,109타입
22,2018.01.10,89500,109타입
23,2017.12.30,89000,109타입
24,2017.12.20,88000,109타입
25,2017.12.09,88000,109타입
26,2017.12.09,88300,109타입
27,2017.12.07,86000,109타입
28,2017.11.15,84500,109타입
29,2017.10.21,86000,109타입
30,2017.09.28,86000,109타입
31,2017.09.13,85000,109타입
32,2017.07.26,82000,109타입
33,2017.07.16,80000,109타입
34,2017.07.04,84500,109타입
35,2017.06.22,80900,109타입
36,2017.05.22,77800,109타입
37,2017.05.14,74000,109타입
38,2017.05.13,77900,109타입
39,2017.05.03,81500,109타입
40,2017.05.02,71000,109타입
41,2017.04.24,75000,109타입
42,2017.03.23,76000,109타입
43,2017.03.18,72500,109타입
44,2017.03.16,70000,109타입
45,2016.11.25,75000,109타입
46,2016.11.23,75500,109타입
47,2016.11.14,75700,109타입
48,2016.11.07,77000,109타입
49,2016.09.12,77000,109타입
50,2016.09.03,73800,109타입
51,2016.08.15,73000,109타입
52,2016.08.10,72000,109타입
53,2016.08.06,74300,109타입
54,2016.07.16,74500,109타입
55,2016.07.15,75500,109타입
56,2016.07.12,73400,109타입
57,2016.06.18,71500,109타입
58,2016.05.26,70700,109타입
59,2016.04.04,68600,109타입
60,2016.03.30,72500,109타입
61,2016.03.12,68500,109타입
62,2016.01.21,71800,109타입
63,2016.01.19,69000,109타입
64,2015.12.11,72300,109타입
65,2015.10.29,72000,109타입
66,2015.10.14,71000,109타입
67,2015.10.03,71000,109타입
68,2015.09.05,71500,109타입
69,2015.08.26,70000,109타입
70,2015.04.28,70000,109타입
71,2015.04.24,70600,109타입
72,2015.04.15,71800,109타입
73,2015.04.07,67800,109타입
74,2015.04.05,69500,109타입
75,2015.04.04,71400,109타입
76,2015.03.24,67200,109타입
77,2015.03.18,69700,109타입
78,2015.03.07,69700,109타입
79,2015.02.07,67000,109타입
80,2015.01.17,66300,109타입
81,2015.01.14,67300,109타입
82,2014.12.16,68400,109타입
83,2014.10.24,69000,109타입
84,2014.10.08,65600,109타입
85,2014.10.02,65000,109타입
86,2014.09.13,67000,109타입
87,2014.09.10,66800,109타입
88,2014.07.30,67700,109타입
89,2014.05.14,59800,109타입
90,2014.05.13,64000,109타입
91,2014.04.09,64000,109타입
92,2014.03.24,65000,109타입
93,2014.03.08,64000,109타입
94,2014.02.15,63000,109타입
95,2013.12.20,65000,109타입
96,2013.12.19,64000,109타입
97,2013.11.11,59500,109타입
98,2013.09.24,65000,109타입
99,2013.09.07,63300,109타입
100,2013.09.07,63000,109타입
101,2013.05.16,64300,109타입
102,2013.04.15,63000,109타입
103,2013.04.12,62500,109타입
104,2013.04.11,67450,109타입
105,2013.02.05,64000,109타입
106,2013.01.11,62000,109타입
107,2012.11.27,72000,109타입
108,2012.11.07,64500,109타입
109,2012.06.30,66000,109타입
110,2012.03.07,56000,109타입
111,2012.02.23,66000,109타입
112,2012.02.16,67000,109타입
113,2011.12.22,70500,109타입
114,2011.12.14,66500,109타입
115,2011.12.10,69800,109타입
116,2011.08.22,70000,109타입
117,2011.07.25,63000,109타입
118,2011.07.12,71000,109타입
119,2011.05.14,66250,109타입
120,2011.04.29,70000,109타입
121,2011.04.13,70000,109타입
122,2011.03.15,72200,109타입
123,2011.02.21,73000,109타입
124,2011.02.14,73000,109타입
125,2011.01.21,73000,109타입
126,2010.12.16,70000,109타입
127,2010.11.26,68000,109타입
128,2010.11.10,70000,109타입
129,2010.09.20,70000,109타입
130,2010.07.03,63500,109타입
131,2010.06.19,68000,109타입
132,2010.04.01,68000,109타입
133,2010.02.16,72000,109타입
134,2010.02.05,70500,109타입
135,2009.10.07,74800,109타입
136,2009.09.16,74300,109타입
137,2009.09.07,76500,109타입
138,2009.08.11,74750,109타입
139,2009.07.22,71500,109타입
140,2009.07.22,73000,109타입
141,2009.07.09,72000,109타입
142,2009.06.30,64300,109타입
143,2009.06.30,66000,109타입
144,2009.06.30,72000,109타입
145,2009.06.27,71500,109타입
146,2009.06.20,70000,109타입
147,2009.06.18,65000,109타입
148,2009.05.09,68000,109타입
149,2009.05.04,68400,109타입
150,2009.02.14,64700,109타입
151,2009.02.10,67000,109타입
152,2009.02.06,65300,109타입
153,2008.10.03,72000,109타입
154,2008.06.13,68500,109타입
155,2008.06.04,71000,109타입
156,2008.05.30,71000,109타입
157,2008.04.16,73000,109타입
158,2008.03.13,76000,109타입
159,2008.03.05,67800,109타입
160,2007.12.31,76000,109타입
161,2007.11.28,69750,109타입
162,2007.11.21,69500,109타입
163,2007.09.22,74300,109타입
164,2006.12.08,73700,109타입
165,2006.12.01,78700,109타입
166,2006.11.07,78700,109타입
167,2006.11.02,76000,109타입
168,2006.10.28,67800,109타입
169,2006.10.26,74500,109타입
170,2006.03.31,67000,109타입
171,2006.03.25,72700,109타입
172,2006.01.31,64700,109타입
