0,계약일,가격,타입
1,2019.11.04,104000,102타입
2,2019.10.28,110000,102타입
3,2019.10.26,107000,102타입
4,2019.10.18,105000,102타입
5,2019.09.03,94180,102타입
6,2019.08.24,103000,102타입
7,2019.08.11,109700,102타입
8,2019.07.05,97000,102타입
9,2019.06.22,106000,102타입
10,2019.06.19,99500,102타입
11,2019.06.12,96800,103B
12,2019.06.08,100000,102타입
13,2019.05.29,97500,102타입
14,2019.03.15,91800,102타입
15,2018.09.05,110000,103B
16,2018.08.27,105000,102타입
17,2018.08.25,102000,102타입
18,2018.08.08,88500,102타입
19,2018.08.08,94000,102타입
20,2018.07.31,95000,102타입
21,2018.06.24,90000,102타입
22,2017.12.08,81000,102타입
23,2017.12.04,81500,102타입
24,2017.11.11,84000,102타입
25,2017.09.21,75000,102타입
26,2017.07.18,67000,102타입
27,2017.06.08,74000,102타입
28,2017.06.03,71000,102타입
29,2017.05.31,67000,102타입
30,2017.05.29,70500,102타입
31,2017.05.13,70000,102타입
32,2017.05.08,65000,102타입
33,2017.04.28,70000,102타입
34,2017.03.11,64500,102타입
35,2016.10.22,69000,102타입
36,2016.10.19,69000,102타입
37,2016.10.16,68500,102타입
38,2016.09.08,61500,102타입
39,2016.09.03,66000,103B
40,2016.06.11,55000,102타입
41,2016.05.12,59000,102타입
42,2016.01.16,54500,102타입
43,2016.01.05,56500,102타입
44,2015.11.09,56000,102타입
45,2015.10.10,55000,102타입
46,2015.06.28,58500,102타입
47,2015.06.18,55000,102타입
48,2015.06.04,56500,103B
49,2015.04.23,52000,102타입
50,2015.03.26,52000,102타입
51,2015.03.24,55000,102타입
52,2015.03.07,51000,102타입
53,2015.03.04,53300,102타입
54,2015.02.25,53000,102타입
55,2015.02.25,51000,102타입
56,2015.01.07,48000,102타입
57,2014.11.20,52700,102타입
58,2014.11.11,52500,102타입
59,2014.09.24,49000,102타입
60,2014.09.16,53000,102타입
61,2014.08.29,52500,103B
62,2014.07.19,49500,102타입
63,2014.03.14,47200,102타입
64,2014.02.19,50000,102타입
65,2014.02.12,50000,102타입
66,2013.12.04,49700,102타입
67,2013.08.21,44000,102타입
68,2013.08.14,46500,102타입
69,2013.07.27,43500,102타입
70,2013.07.03,47900,102타입
71,2012.10.30,45000,102타입
72,2012.04.20,45000,102타입
73,2012.02.05,48700,102타입
74,2011.07.23,50900,102타입
75,2011.07.20,51500,102타입
76,2011.07.02,49700,102타입
77,2011.04.12,52000,102타입
78,2011.04.06,50500,102타입
79,2010.12.17,49400,102타입
80,2010.12.14,51000,102타입
81,2010.12.11,49500,102타입
82,2010.12.04,48500,102타입
83,2010.10.15,47000,102타입
84,2010.08.14,48000,102타입
85,2009.11.20,55000,102타입
86,2009.07.25,56000,102타입
87,2009.07.18,53000,102타입
88,2009.06.24,55000,102타입
89,2009.06.15,52500,102타입
90,2009.06.03,53000,102타입
91,2009.04.11,50000,102타입
92,2009.03.27,52500,102타입
93,2009.01.29,50000,102타입
94,2008.07.05,55000,102타입
95,2008.05.06,54750,102타입
96,2008.01.22,55000,102타입
97,2008.01.17,55000,102타입
98,2007.07.06,55000,102타입
99,2006.12.01,57000,102타입
100,2006.11.27,59500,102타입
101,2006.11.01,57000,102타입
102,2006.10.18,51500,103B
103,2006.04.05,47700,102타입
104,2006.03.22,46500,102타입
105,2006.02.17,39300,102타입
106,2006.01.26,43000,102타입
107,2006.01.24,34600,102타입
108,2006.01.02,38000,102타입
0,계약일,가격0000,타입
1,2019.10.26,116000,109타입
2,2019.10.09,113700,109타입
3,2019.08.23,111000,109타입
4,2019.07.26,116500,109타입
5,2019.07.06,115000,109타입
6,2019.06.01,114700,109타입
7,2019.04.19,110000,109타입
8,2018.11.06,118000,109타입
9,2018.08.22,110000,109타입
10,2018.08.15,95000,109타입
11,2018.06.09,99000,109타입
12,2018.01.27,99500,109타입
13,2018.01.17,97000,109타입
