0,계약일,가격,타입
1,2019.11.06,119500,103타입
2,2019.11.05,122000,103타입
3,2019.10.28,122000,103타입
4,2019.10.12,124000,103타입
5,2019.10.11,109700,103타입
6,2019.10.08,109500,103타입
7,2019.10.03,105000,103타입
8,2019.10.03,111000,103타입
9,2019.09.30,107500,103타입
10,2019.09.28,102500,103타입
11,2019.09.28,110000,103타입
12,2019.09.28,106000,103타입
13,2019.09.27,107500,103타입
14,2019.09.25,96000,103타입
15,2019.09.25,109000,103타입
16,2019.09.24,106000,103타입
17,2019.09.22,107000,103타입
18,2019.09.21,110000,103타입
19,2019.09.18,110000,103타입
20,2019.09.10,105500,103타입
21,2019.08.31,104000,103타입
22,2019.08.31,104000,103타입
23,2019.08.24,103500,103타입
24,2019.08.19,105000,103타입
25,2019.08.17,93500,103타입
26,2019.08.16,98000,103타입
27,2019.08.07,105000,103타입
28,2019.07.30,105000,103타입
29,2019.07.25,104250,103타입
30,2019.07.20,105700,103타입
31,2019.07.12,85000,103타입
32,2019.07.05,104000,103타입
33,2019.07.03,103000,103타입
34,2019.07.03,98000,103타입
35,2019.06.26,105000,103타입
36,2019.06.24,110000,103타입
37,2019.06.22,103000,103타입
38,2019.06.22,113000,103타입
39,2019.06.19,99000,103타입
40,2019.06.12,104000,103타입
41,2019.06.05,96000,103타입
42,2019.06.05,77000,103타입
43,2019.06.03,100000,103타입
44,2019.05.25,94000,103타입
45,2019.05.24,88000,103타입
46,2019.05.23,96100,103타입
47,2019.05.18,95000,103타입
48,2019.05.17,94000,103타입
49,2019.05.01,92000,103타입
50,2019.03.30,99000,103타입
51,2019.03.29,87500,103타입
52,2019.03.28,90000,103타입
53,2019.02.13,96000,103타입
54,2018.11.30,105000,103타입
55,2018.11.17,108000,103타입
56,2018.10.08,115000,103타입
57,2018.10.06,94000,103타입
58,2018.10.05,100000,103타입
59,2018.10.01,112000,103타입
60,2018.09.17,114000,103타입
61,2018.09.15,110000,103타입
62,2018.09.13,100000,103타입
63,2018.09.12,100000,103타입
64,2018.09.08,99200,103타입
65,2018.09.05,98000,103타입
66,2018.09.02,100000,103타입
67,2018.09.01,90000,103타입
68,2018.08.24,98500,103타입
69,2018.08.20,97000,103타입
70,2018.08.16,96000,103타입
71,2018.08.15,89500,103타입
72,2018.08.14,89800,103타입
73,2018.08.13,90000,103타입
74,2018.08.11,90000,103타입
75,2018.08.09,89000,103타입
76,2018.08.09,94000,103타입
77,2018.08.09,89500,103타입
78,2018.08.08,89000,103타입
79,2018.08.08,95800,103타입
80,2018.08.08,89800,103타입
81,2018.08.07,89000,103타입
82,2018.08.07,90000,103타입
83,2018.08.07,90000,103타입
84,2018.08.06,95000,103타입
85,2018.08.06,92000,103타입
86,2018.07.27,88000,103타입
87,2018.07.20,89500,103타입
88,2018.07.04,95000,103타입
89,2018.07.02,90000,103타입
90,2018.06.13,88400,103타입
91,2018.05.19,90000,103타입
92,2018.05.17,93800,103타입
93,2018.05.09,90000,103타입
94,2018.03.30,92500,103타입
95,2018.03.28,90000,103타입
96,2018.03.08,89000,103타입
97,2018.03.03,90000,103타입
98,2018.03.03,93500,103타입
99,2018.02.22,92000,103타입
100,2018.02.12,92000,103타입
101,2018.02.05,77500,103타입
102,2018.01.27,93000,103타입
103,2018.01.25,92500,103타입
104,2018.01.20,90000,103타입
105,2018.01.12,92800,103타입
106,2018.01.06,93000,103타입
107,2017.12.22,85000,103타입
108,2017.12.22,89500,103타입
109,2017.12.22,84700,103타입
110,2017.12.18,83500,103타입
111,2017.12.15,86000,103타입
112,2017.12.07,83000,103타입
113,2017.12.05,81000,103타입
114,2017.12.02,82000,103타입
115,2017.11.29,88000,103타입
116,2017.11.28,85300,103타입
117,2017.11.25,84500,103타입
118,2017.11.25,86850,103타입
119,2017.11.21,82500,103타입
120,2017.11.15,76000,103타입
121,2017.11.15,81500,103타입
122,2017.11.13,83300,103타입
123,2017.11.08,80500,103타입
124,2017.11.07,78000,103타입
125,2017.11.06,78000,103타입
126,2017.11.06,83500,103타입
127,2017.11.03,82500,103타입
128,2017.10.31,78800,103타입
129,2017.10.30,82500,103타입
130,2017.10.28,80700,103타입
131,2017.10.27,81300,103타입
132,2017.10.23,79000,103타입
133,2017.10.21,77800,103타입
134,2017.10.17,76800,103타입
135,2017.10.16,77000,103타입
136,2017.10.14,82000,103타입
137,2017.09.30,82000,103타입
138,2017.09.28,82000,103타입
139,2017.09.26,75500,103타입
140,2017.09.23,76000,103타입
141,2017.09.21,83700,103타입
142,2017.09.15,80000,103타입
143,2017.09.06,78000,103타입
144,2017.08.26,76000,103타입
145,2017.08.19,82000,103타입
146,2017.08.17,74100,103타입
147,2017.08.16,70000,103타입
148,2017.08.15,82000,103타입
149,2017.07.31,79000,103타입
150,2017.07.29,76500,103타입
151,2017.07.29,76600,103타입
152,2017.07.29,79000,103타입
153,2017.07.29,71000,103타입
154,2017.07.29,78300,103타입
155,2017.07.28,79000,103타입
156,2017.07.28,78000,103타입
157,2017.07.27,78000,103타입
158,2017.07.27,80000,103타입
159,2017.07.27,79500,103타입
160,2017.07.26,75000,103타입
161,2017.07.24,75200,103타입
162,2017.07.16,80000,103타입
163,2017.07.15,79000,103타입
164,2017.07.15,78000,103타입
165,2017.07.15,74000,103타입
166,2017.07.15,76700,103타입
167,2017.07.15,75000,103타입
168,2017.07.15,75000,103타입
169,2017.07.13,79500,103타입
170,2017.07.13,72000,103타입
171,2017.07.07,81000,103타입
172,2017.06.24,72700,103타입
173,2017.06.18,75000,103타입
174,2017.06.14,76000,103타입
175,2017.06.06,79800,103타입
176,2017.06.05,74000,103타입
177,2017.06.05,70000,103타입
178,2017.06.03,78000,103타입
179,2017.06.03,78000,103타입
180,2017.06.01,80500,103타입
181,2017.05.31,75000,103타입
182,2017.05.30,74700,103타입
183,2017.05.29,73700,103타입
