0,계약일,가격,타입
1,2019.08.29,76500,113타입
2,2019.07.27,80000,113타입
3,2018.07.18,67000,113타입
4,2018.05.01,65000,113타입
5,2018.02.22,35000,113타입
6,2017.12.27,60000,113타입
7,2017.11.01,59000,113타입
8,2017.07.26,60000,113타입
9,2017.07.22,59000,113타입
10,2017.07.04,55600,113타입
11,2017.06.01,56000,113타입
12,2017.03.26,55800,113타입
13,2017.03.10,54200,113타입
14,2017.02.06,54800,113타입
15,2016.12.29,51500,113타입
16,2016.10.08,52300,113타입
17,2016.10.04,54700,113타입
18,2016.09.24,53000,113타입
19,2016.09.09,54000,113타입
20,2016.08.27,54900,113타입
21,2016.07.01,53900,113타입
22,2016.03.16,54000,113타입
23,2016.02.18,53300,113타입
24,2015.12.03,52700,113타입
25,2015.10.23,49400,113타입
26,2015.10.21,47750,113타입
27,2015.10.16,51000,113타입
28,2015.09.08,48000,113타입
29,2015.08.29,47800,113타입
30,2015.08.16,48800,113타입
31,2015.06.30,52000,113타입
32,2015.06.10,47800,113타입
33,2015.06.06,47500,113타입
34,2015.06.06,47500,113타입
35,2015.05.09,43300,113타입
36,2015.04.12,50800,113타입
37,2015.04.11,49500,113타입
38,2015.03.18,49700,113타입
39,2015.03.07,47500,113타입
40,2014.12.10,48000,113타입
41,2014.09.15,43000,113타입
42,2014.07.21,40000,113타입
43,2014.06.19,41000,113타입
44,2014.04.14,49900,113타입
45,2013.02.16,44500,113타입
46,2012.02.04,49500,113타입
47,2010.05.10,53000,113타입
48,2009.09.03,51500,113타입
49,2008.08.22,55000,113타입
50,2008.06.13,49500,113타입
51,2008.04.19,63000,113타입
52,2006.11.15,52000,113타입
53,2006.10.12,52000,113타입
54,2006.09.30,48500,113타입
55,2006.09.09,48300,113타입
56,2006.07.20,40000,113타입
57,2006.06.05,41500,113타입
58,2006.04.24,40000,113타입
59,2006.04.04,41500,113타입
60,2006.03.20,40000,113타입
61,2006.02.23,36500,113타입
62,2006.01.20,35450,113타입
63,2006.01.13,34500,113타입
