0,계약일,가격,타입
1,2019.08.01,55000,104타입
2,2018.09.03,63500,104타입
3,2018.08.18,52000,104타입
4,2018.07.23,56400,104타입
5,2018.07.19,53000,104타입
6,2018.07.14,49000,104타입
7,2018.04.14,49400,104타입
8,2018.03.19,49500,104타입
9,2018.03.16,51000,104타입
10,2018.03.06,53500,104타입
11,2018.02.14,50800,104타입
12,2018.01.17,49000,104타입
13,2018.01.15,47500,104타입
14,2017.12.22,49000,104타입
15,2017.12.21,50500,104타입
16,2017.10.23,47700,104타입
17,2017.08.01,41500,104타입
18,2017.07.14,47900,104타입
19,2017.07.12,47000,104타입
20,2017.06.23,48200,104타입
21,2017.06.21,41000,104타입
22,2017.06.16,44800,104타입
23,2017.06.07,44980,104타입
24,2017.05.26,45000,104타입
25,2017.05.18,43000,104타입
26,2017.05.18,43500,104타입
27,2017.04.29,45500,104타입
28,2017.04.15,42700,104타입
29,2016.11.25,42000,104타입
30,2016.10.22,44000,104타입
31,2016.10.05,44700,104타입
32,2016.10.02,42000,104타입
33,2016.08.31,42000,104타입
34,2016.08.27,40500,104타입
35,2016.08.20,39500,104타입
36,2016.08.12,43500,104타입
37,2016.08.02,43500,104타입
38,2016.07.15,42000,104타입
39,2016.07.02,42500,104타입
40,2016.05.31,39900,104타입
41,2016.05.26,41400,104타입
42,2016.04.19,40800,104타입
43,2016.04.18,40500,104타입
44,2016.04.06,41700,104타입
45,2016.03.12,40350,104타입
46,2016.02.27,39000,104타입
47,2015.12.01,41600,104타입
48,2015.11.21,39000,104타입
49,2015.11.06,40500,104타입
50,2015.09.05,40800,104타입
51,2015.07.31,41500,104타입
52,2015.07.09,41000,104타입
53,2015.06.26,37800,104타입
54,2015.06.24,40500,104타입
55,2015.05.14,37000,104타입
56,2015.05.06,35300,104타입
57,2015.04.27,34300,104타입
58,2015.04.10,40000,104타입
59,2015.03.24,37000,104타입
60,2015.02.12,36000,104타입
61,2015.02.09,36000,104타입
62,2015.01.31,36700,104타입
63,2014.12.28,32500,104타입
64,2014.12.17,34600,104타입
65,2014.11.25,34100,104타입
66,2014.11.03,34500,104타입
67,2014.10.27,34000,104타입
68,2014.08.26,34600,104타입
69,2014.08.21,32800,104타입
70,2014.07.21,34300,104타입
71,2014.05.24,35150,104타입
72,2014.05.01,34500,104타입
73,2014.04.11,33200,104타입
74,2013.11.14,34500,104타입
75,2013.10.23,34700,104타입
76,2013.08.14,30800,104타입
77,2013.06.24,38000,104타입
78,2013.06.07,35000,104타입
79,2013.06.03,34000,104타입
80,2013.04.17,33500,104타입
81,2013.01.26,35000,104타입
82,2013.01.23,30000,104타입
83,2012.11.15,32000,104타입
84,2012.10.29,33000,104타입
85,2012.09.24,33000,104타입
86,2012.03.31,34500,104타입
87,2012.02.28,37000,104타입
88,2011.09.17,35000,104타입
89,2011.06.22,39800,104타입
90,2011.05.12,38000,104타입
91,2010.06.14,43700,104타입
92,2010.01.23,42350,104타입
93,2009.10.14,43100,104타입
94,2009.04.13,40300,104타입
95,2009.02.02,32000,104타입
96,2008.05.29,50000,104타입
97,2008.05.24,44500,104타입
98,2008.05.21,50000,104타입
99,2008.05.19,45000,104타입
100,2008.05.17,47000,104타입
101,2008.02.28,45000,104타입
102,2007.12.29,44000,104타입
103,2007.07.11,40500,104타입
104,2007.01.28,41000,104타입
105,2006.09.13,39100,104타입
106,2006.08.21,29000,104타입
107,2006.04.27,26000,104타입
108,2006.04.15,29500,104타입
109,2006.04.14,27000,104타입
110,2006.04.12,27500,104타입
111,2006.04.11,29700,104타입
112,2006.03.24,26400,104타입
113,2006.03.24,28400,104타입
114,2006.03.23,25600,104타입
115,2006.03.15,27800,104타입
116,2006.03.08,27750,104타입
117,2006.02.25,24500,104타입
118,2006.02.15,25800,104타입
119,2006.02.13,26650,104타입
120,2006.01.31,26400,104타입
121,2006.01.31,27500,104타입
122,2006.01.12,23900,104타입
