0,계약일,가격,타입
1,2019.11.27,74000,104타입
2,2019.09.28,70000,104타입
3,2019.07.24,73000,104타입
4,2019.06.30,68000,104타입
5,2018.08.30,73000,104타입
6,2018.08.25,70800,104타입
7,2018.07.01,59500,104타입
8,2017.12.06,52000,104타입
9,2017.08.25,54000,104타입
10,2017.08.24,52600,104타입
11,2017.07.31,52900,104타입
12,2017.05.29,49000,104타입
13,2017.05.03,44800,104타입
14,2017.04.05,49400,104타입
15,2017.02.03,44000,104타입
16,2016.12.21,48000,104타입
17,2016.10.29,44200,104타입
18,2016.09.26,45800,104타입
19,2016.08.24,46000,104타입
20,2016.08.13,45400,104타입
21,2016.07.25,45550,104타입
22,2016.07.14,46000,104타입
23,2016.06.20,46500,104타입
24,2016.06.18,45000,104타입
25,2016.06.04,42000,104타입
26,2016.04.29,44000,104타입
27,2016.02.23,44800,104타입
28,2015.06.19,42500,104타입
29,2015.06.01,42500,104타입
30,2015.05.02,41000,104타입
31,2015.04.11,36500,104타입
32,2015.04.11,39000,104타입
33,2015.03.21,41800,104타입
34,2015.03.05,41000,104타입
35,2015.01.22,39000,104타입
36,2014.07.15,36500,104타입
37,2014.03.11,34000,104타입
38,2014.02.19,41500,104타입
39,2014.02.14,40850,104타입
40,2014.02.08,38900,104타입
41,2014.01.28,39500,104타입
42,2014.01.10,37500,104타입
43,2013.12.02,34000,104타입
44,2012.06.15,45000,104타입
45,2011.12.22,34000,104타입
46,2011.09.04,33000,104타입
47,2010.05.13,42000,104타입
48,2009.09.30,46000,104타입
49,2009.08.16,46000,104타입
50,2009.08.13,47000,104타입
51,2009.07.25,45200,104타입
52,2009.02.21,45000,104타입
53,2008.04.29,44750,104타입
54,2008.04.14,45000,104타입
55,2008.03.26,41300,104타입
56,2008.03.07,38000,104타입
57,2007.09.18,43000,104타입
58,2006.12.23,45000,104타입
59,2006.12.09,40500,104타입
60,2006.05.01,31000,104타입
61,2006.04.30,33500,104타입
62,2006.04.04,31000,104타입
63,2006.03.29,30800,104타입
64,2006.03.29,27500,104타입
65,2006.03.28,29500,104타입
66,2006.03.27,29500,104타입
67,2006.03.25,22500,104타입
68,2006.02.09,30000,104타입
69,2006.01.27,27000,104타입
70,2006.01.26,21900,104타입
71,2006.01.26,22850,104타입
