,date,value
0,2006 2,0.05
1,2006 3,0.12
2,2006 4,-0.01
3,2006 5,0.1
4,2006 6,-0.08
5,2006 7,-0.02
6,2006 8,-0.14
7,2006 9,0.47
8,2006 10,0.07
9,2006 11,0.03
10,2006 12,-0.03
11,2007 1,-0.05
12,2007 2,-0.16
13,2007 3,-0.1
14,2007 4,0.33
15,2007 5,-0.01
16,2007 6,0.01
17,2007 7,-0.11
18,2007 8,0.19
19,2007 9,-0.08
20,2007 10,0.09
21,2007 11,0.0
22,2007 12,-0.2
23,2008 1,0.12
24,2008 2,-0.03
25,2008 3,0.04
26,2008 4,0.04
27,2008 5,-0.05
28,2008 6,0.05
29,2008 7,-0.06
30,2008 8,0.04
31,2008 9,-0.04
32,2008 10,0.09
33,2008 11,-0.09
34,2008 12,-0.04
35,2009 1,0.02
36,2009 2,-0.0
37,2009 3,-0.01
38,2009 4,-0.0
39,2009 5,0.07
40,2009 6,0.03
41,2009 7,0.01
42,2009 8,-0.05
43,2009 9,0.07
44,2009 10,-0.02
45,2009 11,-0.12
46,2009 12,0.07
47,2010 1,-0.02
48,2010 2,0.11
49,2010 3,-0.03
50,2010 4,-0.06
51,2010 5,-0.03
52,2010 6,-0.07
53,2010 7,0.0
54,2010 8,0.04
55,2010 9,0.07
56,2010 10,-0.04
57,2010 11,0.04
58,2010 12,-0.0
59,2011 1,-0.01
60,2011 2,0.08
61,2011 3,-0.02
62,2011 4,-0.02
63,2011 5,-0.16
64,2011 6,-0.09
65,2011 7,0.21
66,2011 8,0.03
67,2011 9,-0.19
68,2011 10,0.17
69,2011 11,0.06
70,2011 12,-0.02
71,2012 1,-0.06
72,2012 2,0.01
73,2012 3,-0.05
74,2012 4,-0.09
75,2012 5,0.11
76,2012 6,0.12
77,2012 7,-0.12
78,2012 8,0.1
79,2012 9,-0.05
80,2012 10,-0.06
81,2012 11,0.04
82,2012 12,-0.14
83,2013 1,0.04
84,2013 2,0.03
85,2013 3,0.11
86,2013 4,-0.03
87,2013 5,0.02
88,2013 6,-0.16
89,2013 7,0.07
90,2013 8,0.13
91,2013 9,0.05
92,2013 10,-0.06
93,2013 11,0.02
94,2013 12,-0.01
95,2014 1,-0.05
96,2014 2,-0.0
97,2014 3,0.07
98,2014 4,0.0
99,2014 5,-0.07
100,2014 6,0.1
101,2014 7,-0.09
102,2014 8,-0.06
103,2014 9,0.18
104,2014 10,0.06
105,2014 11,-0.14
106,2014 12,0.07
107,2015 1,-0.11
108,2015 2,0.1
109,2015 3,0.04
110,2015 4,0.06
111,2015 5,-0.11
112,2015 6,0.03
113,2015 7,-0.1
114,2015 8,0.21
115,2015 9,-0.02
116,2015 10,0.08
117,2015 11,-0.04
118,2015 12,-0.06
119,2016 1,0.13
120,2016 2,-0.22
121,2016 3,0.22
122,2016 4,-0.01
123,2016 5,0.05
124,2016 6,0.03
125,2016 7,-0.04
126,2016 8,-0.03
127,2016 9,0.1
128,2016 10,-0.01
129,2016 11,0.09
130,2016 12,-0.18
131,2017 1,0.08
132,2017 2,-0.02
133,2017 3,0.1
134,2017 4,-0.06
135,2017 5,0.09
136,2017 6,-0.07
137,2017 7,0.08
138,2017 8,-0.03
139,2017 9,0.14
140,2017 10,-0.1
141,2017 11,0.08
142,2017 12,-0.03
143,2018 1,0.03
144,2018 2,-0.11
145,2018 3,0.13
146,2018 4,-0.3
147,2018 5,0.44
148,2018 6,-0.01
149,2018 7,0.0
150,2018 8,0.15
151,2018 9,0.13
152,2018 10,0.07
153,2018 11,0.07
154,2018 12,0.0
155,2019 1,0.0
156,2019 2,0.0
157,2019 3,-0.09
158,2019 4,0.21
159,2019 5,-0.06
160,2019 6,-0.03
161,2019 7,0.06
162,2019 8,-0.04
163,2019 9,0.06
164,2019 10,0.04
165,2019 11,-0.02
166,2019 12,0.0
