date,value
2006 2,0.98
2006 3,1.63
2006 4,2.13
2006 5,1.93
2006 6,0.69
2006 7,0.31
2006 8,0.3
2006 9,0.75
2006 10,2.17
2006 11,5.9
2006 12,3.81
2007 1,2.32
2007 2,0.69
2007 3,0.38
2007 4,0.37
2007 5,0.01
2007 6,0.25
2007 7,0.43
2007 8,0.36
2007 9,0.47
2007 10,0.44
2007 11,0.68
2007 12,0.4
2008 1,0.74
2008 2,0.72
2008 3,1.78
2008 4,2.5
2008 5,1.51
2008 6,1.43
2008 7,0.76
2008 8,0.23
2008 9,0.23
2008 10,-0.3
2008 11,-0.89
2008 12,-1.73
2009 1,-0.92
2009 2,-0.18
2009 3,-0.26
2009 4,0.33
2009 5,0.21
2009 6,0.42
2009 7,0.85
2009 8,0.52
2009 9,1.13
2009 10,0.33
2009 11,0.01
2009 12,0
2010 1,0.08
2010 2,0.26
2010 3,-0.02
2010 4,-0.1
2010 5,-0.45
2010 6,-0.38
2010 7,-0.48
2010 8,-0.46
2010 9,-0.25
2010 10,-0.19
2010 11,-0.12
2010 12,0.04
2011 1,0.14
2011 2,0.28
2011 3,0.14
2011 4,0.01
2011 5,0.03
2011 6,-0.12
2011 7,-0.16
2011 8,-0.09
2011 9,-0.12
2011 10,-0.13
2011 11,-0.18
2011 12,-0.17
2012 1,-0.27
2012 2,-0.25
2012 3,-0.43
2012 4,-0.57
2012 5,-0.54
2012 6,-0.79
2012 7,-0.68
2012 8,-0.9
2012 9,-0.67
2012 10,-0.62
2012 11,-0.5
2012 12,-0.64
2013 1,-0.63
2013 2,-0.39
2013 3,-0.12
2013 4,0.14
2013 5,0.24
2013 6,-0.22
2013 7,-0.53
2013 8,-0.47
2013 9,0.09
2013 10,0.53
2013 11,0.12
2013 12,-0.03
2014 1,0.29
2014 2,0.34
2014 3,0.39
2014 4,0.04
2014 5,-0.09
2014 6,-0.07
2014 7,-0.03
2014 8,0.12
2014 9,0.4
2014 10,0.43
2014 11,0.14
2014 12,0.01
2015 1,0.14
2015 2,0.31
2015 3,0.52
2015 4,0.76
2015 5,0.6
2015 6,0.68
2015 7,0.54
2015 8,0.56
2015 9,0.68
2015 10,0.67
2015 11,0.65
2015 12,0.42
2016 1,0.05
2016 2,0
2016 3,-0.01
2016 4,0.1
2016 5,0.21
2016 6,0.34
2016 7,0.35
2016 8,0.39
2016 9,0.39
2016 10,0.69
2016 11,0.56
2016 12,0.13
2017 1,0.03
2017 2,0.07
2017 3,0.17
2017 4,0.28
2017 5,0.45
2017 6,0.99
2017 7,0.5
2017 8,0.61
2017 9,-0.01
2017 10,0.26
2017 11,0.43
2017 12,0.84
2018 1,1.34
2018 2,1.39
2018 3,0.77
2018 4,0.37
2018 5,0.22
2018 6,0.21
2018 7,0.34
2018 8,0.82
2018 9,1.84
2018 10,0.58
2018 11,0.05
2018 12,-0.17
2019 1,-0.41
2019 2,-0.37
2019 3,-0.4
2019 4,-0.34
2019 5,-0.2
2019 6,-0.09
2019 7,0.07
2019 8,0.14
2019 9,0.18
2019 10,0.6
2019 11,0.69
