date,value
2006 2,0.03
2006 3,0.93
2006 4,0.66
2006 5,0.94
2006 6,0.59
2006 7,-0.26
2006 8,0.25
2006 9,0.25
2006 10,1.81
2006 11,4.87
2006 12,4.25
2007 1,3.94
2007 2,1.89
2007 3,0.25
2007 4,1.74
2007 5,0.44
2007 6,0.19
2007 7,0.55
2007 8,0.42
2007 9,0.76
2007 10,0.32
2007 11,1.24
2007 12,0.85
2008 1,1.5
2008 2,1.34
2008 3,2.18
2008 4,2.47
2008 5,1.18
2008 6,2.34
2008 7,1.63
2008 8,0.34
2008 9,0.77
2008 10,-0.09
2008 11,-0.28
2008 12,-0.51
2009 1,-1.08
2009 2,-0.84
2009 3,-0.35
2009 4,-0.15
2009 5,0.02
2009 6,0.13
2009 7,0.19
2009 8,0.09
2009 9,0.86
2009 10,0.08
2009 11,0.03
2009 12,-0.06
2010 1,0.04
2010 2,0.06
2010 3,-0.2
2010 4,-0.21
2010 5,-0.84
2010 6,-0.42
2010 7,-0.41
2010 8,-0.51
2010 9,-0.14
2010 10,-0.16
2010 11,-0.04
2010 12,0.04
2011 1,0.04
2011 2,0.27
2011 3,0.08
2011 4,0.04
2011 5,0.03
2011 6,0.01
2011 7,-0.06
2011 8,-0.02
2011 9,-0.06
2011 10,0.07
2011 11,-0.08
2011 12,0.02
2012 1,-0.19
2012 2,-0.27
2012 3,-0.06
2012 4,-0.02
2012 5,-0.04
2012 6,-0.23
2012 7,-0.3
2012 8,-0.3
2012 9,-0.19
2012 10,-0.15
2012 11,-0.16
2012 12,0
2013 1,-0.06
2013 2,-0.52
2013 3,-0.61
2013 4,-0.63
2013 5,-0.45
2013 6,-0.5
2013 7,-0.43
2013 8,-0.35
2013 9,-0.01
2013 10,0.17
2013 11,0.15
2013 12,0.22
2014 1,0.14
2014 2,0.06
2014 3,0.36
2014 4,0.14
2014 5,-0.08
2014 6,-0.13
2014 7,-0.11
2014 8,0.1
2014 9,0.19
2014 10,0.17
2014 11,0.1
2014 12,0.09
2015 1,0.07
2015 2,0.13
2015 3,0.15
2015 4,0.3
2015 5,0.48
2015 6,0.47
2015 7,0.42
2015 8,0.46
2015 9,0.56
2015 10,0.75
2015 11,0.84
2015 12,0.42
2016 1,0.03
2016 2,0
2016 3,0
2016 4,0
2016 5,0.15
2016 6,0.25
2016 7,0.33
2016 8,0.42
2016 9,0.45
2016 10,0.51
2016 11,0.42
2016 12,0.34
2017 1,0.2
2017 2,0
2017 3,0
2017 4,-0.03
2017 5,0.02
2017 6,0.27
2017 7,0.25
2017 8,0.5
2017 9,0.24
2017 10,0.28
2017 11,0.26
2017 12,0.28
2018 1,0.46
2018 2,1.17
2018 3,1.47
2018 4,0.61
2018 5,0.77
2018 6,0.63
2018 7,0.51
2018 8,0.69
2018 9,1.37
2018 10,0.58
2018 11,0.3
2018 12,-0.02
2019 1,-0.16
2019 2,-0.15
2019 3,-0.14
2019 4,-0.23
2019 5,-0.09
2019 6,-0.1
2019 7,-0.02
2019 8,0.07
2019 9,0.15
2019 10,0.34
2019 11,0.5
