date,value
2006 2,0.81
2006 3,1.17
2006 4,1.61
2006 5,1.92
2006 6,0.95
2006 7,0.43
2006 8,0.43
2006 9,0.92
2006 10,2.65
2006 11,6.73
2006 12,3.96
2007 1,2.37
2007 2,0.81
2007 3,0.44
2007 4,0.36
2007 5,0.09
2007 6,0.28
2007 7,0.5
2007 8,0.51
2007 9,0.57
2007 10,0.65
2007 11,0.62
2007 12,0.41
2008 1,0.65
2008 2,0.62
2008 3,1.4
2008 4,2.14
2008 5,1.42
2008 6,1.51
2008 7,0.91
2008 8,0.42
2008 9,0.41
2008 10,-0.33
2008 11,-1.06
2008 12,-1.46
2009 1,-0.99
2009 2,-0.42
2009 3,-0.4
2009 4,0.03
2009 5,0.18
2009 6,0.26
2009 7,0.5
2009 8,0.37
2009 9,0.88
2009 10,0.29
2009 11,0.01
2009 12,-0.09
2010 1,-0.02
2010 2,0.1
2010 3,-0.05
2010 4,-0.21
2010 5,-0.55
2010 6,-0.54
2010 7,-0.67
2010 8,-0.51
2010 9,-0.25
2010 10,-0.18
2010 11,-0.12
2010 12,0.04
2011 1,0.13
2011 2,0.32
2011 3,0.29
2011 4,0.12
2011 5,0.01
2011 6,-0.07
2011 7,-0.11
2011 8,-0.05
2011 9,-0.03
2011 10,-0.05
2011 11,-0.13
2011 12,-0.15
2012 1,-0.28
2012 2,-0.16
2012 3,-0.31
2012 4,-0.37
2012 5,-0.43
2012 6,-0.58
2012 7,-0.64
2012 8,-0.77
2012 9,-0.67
2012 10,-0.61
2012 11,-0.52
2012 12,-0.59
2013 1,-0.66
2013 2,-0.44
2013 3,-0.26
2013 4,0.06
2013 5,0.21
2013 6,-0.05
2013 7,-0.32
2013 8,-0.32
2013 9,0.07
2013 10,0.52
2013 11,0.22
2013 12,0.13
2014 1,0.3
2014 2,0.36
2014 3,0.47
2014 4,0.02
2014 5,-0.06
2014 6,-0.04
2014 7,0
2014 8,0.15
2014 9,0.49
2014 10,0.41
2014 11,0.24
2014 12,0.14
2015 1,0.19
2015 2,0.36
2015 3,0.52
2015 4,0.8
2015 5,0.62
2015 6,0.66
2015 7,0.49
2015 8,0.46
2015 9,0.55
2015 10,0.59
2015 11,0.51
2015 12,0.29
2016 1,0.05
2016 2,0
2016 3,-0.01
2016 4,0.05
2016 5,0.11
2016 6,0.2
2016 7,0.19
2016 8,0.23
2016 9,0.21
2016 10,0.39
2016 11,0.34
2016 12,0.09
2017 1,0.01
2017 2,0.01
2017 3,0.08
2017 4,0.16
2017 5,0.24
2017 6,0.45
2017 7,0.33
2017 8,0.48
2017 9,0.13
2017 10,0.2
2017 11,0.25
2017 12,0.29
2018 1,0.48
2018 2,0.6
2018 3,0.37
2018 4,0.19
2018 5,0.07
2018 6,0.04
2018 7,0.05
2018 8,0.23
2018 9,0.9
2018 10,0.47
2018 11,0.16
2018 12,-0.06
2019 1,-0.25
2019 2,-0.24
2019 3,-0.3
2019 4,-0.4
2019 5,-0.29
2019 6,-0.19
2019 7,-0.07
2019 8,0.01
2019 9,0.14
2019 10,0.32
2019 11,0.45
