0,계약일,가격,타입
1,2019.10.03,110000,127C
2,2018.09.08,117000,127C
3,2017.12.07,85000,127C
4,2017.12.05,80800,127C
5,2017.11.11,79800,127C
6,2017.10.21,85500,127C
7,2017.10.16,86000,127C
8,2017.07.26,82500,127C
9,2017.06.19,80000,127C
10,2017.05.13,82000,127C
11,2017.03.02,84000,127C
12,2016.11.15,79000,127C
13,2016.11.12,80500,127C
14,2016.11.02,82000,127C
15,2016.07.06,80000,127C
16,2015.10.27,81800,127C
17,2015.02.28,74500,127C
18,2014.12.24,72000,127C
19,2014.08.21,70000,127C
20,2014.08.08,72000,127C
21,2013.12.05,70000,127C
22,2013.02.18,56831,127C
23,2019.11.20,110000,128D
24,2019.11.18,112000,128D
25,2019.11.03,95000,128D
26,2019.07.15,100000,128D
27,2019.06.17,98000,128D
28,2019.06.06,97000,128D
29,2019.04.06,97000,128D
30,2019.03.14,98000,128D
31,2018.08.25,105000,128D
32,2018.08.25,93000,128D
33,2018.06.25,97100,128D
34,2018.06.04,97500,128D
35,2018.05.17,97000,128D
36,2018.05.11,95000,128D
37,2018.03.10,94500,128D
38,2018.02.19,90000,128D
39,2018.01.26,82000,128D
40,2018.01.06,83000,128D
41,2018.01.04,77800,128D
42,2017.12.30,77770,128D
43,2017.12.28,82300,128D
44,2017.12.22,80800,128D
45,2017.12.02,79000,128D
46,2017.09.11,69500,128D
47,2017.09.08,76000,128D
48,2017.09.08,79500,128D
49,2017.08.18,73800,128D
50,2017.08.03,79300,128D
51,2017.07.28,80000,128D
52,2017.07.24,78000,128D
53,2017.07.22,78000,128D
54,2017.07.20,74500,128D
55,2017.07.15,75850,128D
56,2017.07.13,74500,128D
57,2017.05.31,76300,128D
58,2017.05.25,73000,128D
59,2017.05.09,73000,128D
60,2017.04.15,75000,128D
61,2017.03.25,77800,128D
62,2017.03.04,67000,128D
63,2016.11.24,76000,128D
64,2016.10.28,77500,128D
65,2016.10.16,77000,128D
66,2016.10.16,77000,128D
67,2016.10.15,74800,128D
68,2016.09.24,77000,128D
69,2016.08.16,76500,128D
70,2016.06.14,73750,128D
71,2016.05.14,75500,128D
72,2016.03.25,75700,128D
73,2015.11.14,74500,128D
74,2015.10.23,67400,128D
75,2015.10.06,73400,128D
76,2015.07.05,73000,128D
77,2015.05.12,73000,128D
78,2015.04.30,68000,128D
79,2015.04.21,72000,128D
80,2015.04.19,72500,128D
81,2015.04.15,69500,128D
82,2015.04.12,74500,128D
83,2014.11.14,69000,128D
84,2014.08.11,65000,128D
85,2014.07.16,65000,128D
86,2014.06.15,63500,128D
87,2014.06.03,61800,128D
88,2014.01.16,65000,128D
89,2013.10.09,58500,128D
90,2013.04.23,59700,128D
91,2013.03.22,52871,128D
