0,계약일,가격,타입
1,2019.10.16,64000,108B
2,2019.09.11,67800,108B
3,2019.08.15,66500,108B
4,2019.04.05,66500,108B
5,2018.08.23,65000,108B
6,2018.08.13,62500,108B
7,2018.07.10,64500,108B
8,2018.06.23,65300,108B
9,2018.06.19,65000,108B
10,2018.03.27,63500,108B
11,2018.03.03,59400,108B
12,2018.02.04,58000,108B
13,2018.01.21,58500,108B
14,2018.01.21,56500,108B
15,2018.01.19,55700,108B
16,2018.01.17,56500,108B
17,2018.01.17,55700,108B
18,2018.01.13,56000,108B
19,2018.01.02,56800,108B
20,2017.12.23,56000,108B
21,2017.11.19,56800,108B
22,2017.11.11,56400,108B
23,2017.09.23,56800,108B
24,2017.09.09,56100,108B
25,2017.08.12,56100,108B
26,2017.07.29,52200,108B
27,2017.07.26,55400,108B
28,2017.07.17,55800,108B
29,2016.11.22,56700,108B
30,2016.11.19,55950,108B
31,2016.10.15,56500,108B
32,2015.10.24,55500,108B
33,2015.03.14,45800,108B
34,2014.10.17,49500,108B
35,2014.10.15,49500,108B
36,2014.08.15,48000,108B
37,2014.08.09,45700,108B
38,2014.08.06,46000,108B
39,2014.07.26,46000,108B
40,2014.05.18,45100,108B
41,2013.12.14,44000,108B
42,2013.11.15,44000,108B
43,2013.10.19,45000,108B
44,2013.09.07,44000,108B
45,2013.08.17,43500,108B
46,2013.08.06,44500,108B
47,2013.03.31,43500,108B
48,2012.10.11,43200,108B
49,2012.05.22,41800,108B
50,2012.05.09,37000,108B
51,2012.04.05,41800,108B
52,2012.03.05,41380,108B
53,2012.03.02,42000,108B
54,2012.02.27,41943,108B
55,2012.02.20,43349,108B
56,2019.11.16,67500,109A
57,2019.11.10,70000,109A
58,2019.11.06,68400,109A
59,2019.11.04,67000,109A
60,2019.11.02,70000,109A
61,2019.11.01,65900,110C
62,2019.10.25,68000,109A
63,2019.10.06,70000,109A
64,2019.07.27,68000,109A
65,2019.07.20,63500,110C
66,2019.07.17,65700,109A
67,2019.07.13,65500,109A
68,2019.06.26,63000,110C
69,2019.03.29,67000,109A
70,2019.03.07,66000,109A
71,2018.12.15,66000,110C
72,2018.09.12,72000,109A
73,2018.09.08,68800,109A
74,2018.08.27,68000,109A
75,2018.08.15,64900,109A
76,2018.08.15,66500,109A
77,2018.07.06,65700,109A
78,2018.06.22,65300,109A
79,2018.05.23,64700,109A
80,2018.05.21,65300,109A
81,2018.05.14,65000,109A
82,2018.04.14,64500,109A
83,2018.02.20,56800,110C
84,2018.02.20,59000,110C
85,2018.02.14,59950,110C
86,2018.02.03,56000,110C
87,2018.02.02,59500,109A
88,2018.02.02,55500,109A
89,2018.02.02,57000,109A
90,2018.01.30,58500,109A
91,2018.01.29,57000,109A
92,2018.01.28,59200,109A
93,2018.01.27,58500,109A
94,2018.01.27,52000,109A
95,2018.01.27,57000,109A
96,2018.01.26,57350,109A
97,2018.01.25,57700,109A
98,2018.01.24,57500,109A
99,2018.01.17,58000,109A
100,2018.01.14,56800,109A
101,2018.01.14,57400,109A
102,2018.01.13,55500,109A
103,2018.01.11,56000,109A
104,2018.01.10,56000,109A
105,2018.01.06,57000,109A
106,2018.01.04,55800,109A
107,2017.12.30,56000,110C
108,2017.12.23,56500,109A
109,2017.12.19,55000,109A
110,2017.12.16,54000,110C
111,2017.12.04,57500,109A
112,2017.12.02,56500,109A
113,2017.12.01,55400,109A
114,2017.11.27,56900,109A
115,2017.11.08,55700,110C
116,2017.10.28,56500,109A
117,2017.10.28,51900,109A
118,2017.10.26,56000,109A
119,2017.10.22,57500,109A
120,2017.10.21,57500,109A
121,2017.10.16,55800,109A
122,2017.10.08,56400,109A
123,2017.09.11,55000,110C
124,2017.09.02,56500,109A
125,2017.08.26,55500,110C
126,2017.08.05,56500,109A
127,2017.07.23,56500,110C
128,2017.07.22,55950,109A
129,2017.07.05,56500,109A
130,2017.06.28,55000,109A
131,2017.06.03,56300,109A
132,2017.06.01,56900,109A
133,2017.05.13,55900,109A
134,2017.05.09,53800,110C
135,2017.04.28,52700,109A
136,2017.04.25,53300,109A
137,2017.04.19,54000,109A
138,2016.12.17,56150,109A
139,2016.12.17,55900,110C
140,2016.12.10,56200,109A
141,2016.12.05,57500,109A
142,2016.12.03,56000,109A
143,2016.11.26,55900,109A
144,2016.11.12,56900,109A
145,2016.11.05,56900,109A
146,2016.10.16,56500,109A
147,2016.09.25,57300,109A
148,2016.09.18,56500,109A
149,2016.08.21,53800,109A
150,2016.08.19,54000,109A
151,2016.07.16,54500,109A
152,2016.06.22,56800,109A
153,2016.06.12,57000,110C
154,2016.06.05,56000,110C
155,2016.05.30,57000,109A
156,2016.05.17,56500,110C
157,2016.05.14,55900,110C
158,2016.05.10,55700,110C
159,2016.04.22,57000,109A
160,2016.03.02,56600,109A
161,2016.01.30,56800,109A
162,2016.01.15,56750,109A
163,2015.12.19,55900,109A
164,2015.12.12,56000,109A
165,2015.12.06,55500,110C
166,2015.12.05,56000,109A
167,2015.11.21,56000,109A
168,2015.11.15,58000,109A
169,2015.11.02,56500,110C
170,2015.10.30,56000,109A
171,2015.09.21,55500,109A
172,2015.09.20,55000,109A
173,2015.09.09,55000,109A
174,2015.08.25,54500,110C
175,2015.08.22,53000,109A
176,2015.07.25,54000,109A
177,2015.07.22,53000,109A
178,2015.07.04,54000,109A
179,2015.06.28,54500,109A
180,2015.06.28,53000,110C
181,2015.06.13,53000,109A
182,2015.06.08,53800,109A
183,2015.06.05,52000,109A
184,2015.05.30,53000,109A
185,2015.05.29,53900,109A
186,2015.05.26,53000,109A
187,2015.05.25,54000,109A
188,2015.05.23,54900,110C
189,2015.05.13,53000,109A
190,2015.05.09,54400,109A
191,2015.04.29,51900,109A
192,2015.04.25,53000,109A
193,2015.04.24,51000,109A
194,2015.04.21,53000,109A
195,2015.03.07,52500,109A
196,2015.02.08,52000,109A
197,2015.01.24,50900,109A
198,2015.01.18,52000,109A
199,2015.01.05,42000,109A
200,2014.11.22,47500,110C
201,2014.11.19,50000,109A
202,2014.11.07,50000,109A
203,2014.11.01,50000,109A
204,2014.10.31,43800,109A
205,2014.10.25,42400,109A
206,2014.10.10,47000,109A
207,2014.08.22,46900,110C
208,2014.08.14,47800,109A
209,2014.07.20,46500,109A
210,2014.07.05,46500,109A
211,2014.06.29,44000,109A
212,2014.06.13,43300,109A
213,2014.05.24,43900,110C
214,2014.05.20,46500,109A
215,2014.05.01,46500,110C
216,2014.03.13,45500,109A
217,2014.03.01,45500,109A
218,2014.02.15,45200,109A
219,2014.02.14,44700,110C
220,2014.02.06,46950,109A
221,2013.12.28,43500,110C
222,2013.11.23,45400,109A
223,2013.11.10,45500,109A
224,2013.10.30,43750,109A
225,2013.10.28,43300,110C
226,2013.10.27,40000,109A
227,2013.10.26,45000,109A
228,2013.10.18,44800,109A
229,2013.10.12,44500,109A
230,2013.10.03,43500,110C
231,2013.09.28,43900,109A
232,2013.09.28,43500,109A
233,2013.09.26,44200,109A
234,2013.09.22,44000,109A
235,2013.09.14,45000,109A
236,2013.09.14,45100,109A
237,2013.08.09,42800,109A
238,2013.06.11,37850,109A
239,2013.06.07,43500,109A
240,2013.05.20,38300,109A
241,2013.05.18,44200,109A
242,2013.05.17,38100,109A
243,2013.05.13,44800,109A
244,2013.04.29,44300,109A
245,2013.03.26,44000,109A
246,2013.02.15,43500,109A
247,2013.01.03,44500,109A
248,2012.12.22,41000,109A
249,2012.11.19,44500,109A
