0,계약일,가격,타입
1,2019.11.29,100000,110L
2,2019.11.23,115000,111H
3,2019.11.23,110000,110E
4,2019.11.23,115000,111G
5,2019.11.23,114000,110C
6,2019.11.09,104000,110B
7,2019.11.09,95000,109A
8,2019.11.08,105000,111G
9,2019.11.02,110000,111F
10,2019.10.31,105500,111G
11,2019.10.31,110000,110C
12,2019.10.31,110000,110B
13,2019.10.29,99500,111H
14,2019.10.29,93000,110L
15,2019.10.28,110000,111G
16,2019.10.26,107000,110B
17,2019.10.26,107000,110C
18,2019.10.23,109950,111G
19,2019.10.20,110000,111F
20,2019.10.20,110000,110C
21,2019.10.19,110000,111G
22,2019.10.19,104500,110B
23,2019.10.19,95000,110L
24,2019.10.19,110000,111G
25,2019.10.16,108000,110E
26,2019.10.15,98500,110L
27,2019.10.13,110000,109I
28,2019.10.12,101000,110J
29,2019.10.12,101000,110L
30,2019.10.09,104800,109A
31,2019.10.05,100000,111F
32,2019.10.05,108600,110E
33,2019.10.05,107000,110E
34,2019.10.04,99900,110L
35,2019.10.03,105000,111F
36,2019.10.01,103000,109A
37,2019.09.30,107000,110E
38,2019.09.30,110000,111G
39,2019.09.28,104500,110E
40,2019.09.24,106000,110C
41,2019.09.24,109900,111H
42,2019.09.21,101500,111F
43,2019.09.21,104000,111F
44,2019.09.21,97800,110L
45,2019.09.21,99500,110J
46,2019.09.21,105000,109K
47,2019.09.20,105000,110C
48,2019.09.20,105000,110B
49,2019.09.19,99000,111F
50,2019.09.17,99000,110C
51,2019.09.16,108900,110D
52,2019.09.07,108000,110D
53,2019.09.07,104800,110E
54,2019.09.07,95000,109K
55,2019.09.06,88300,110J
56,2019.09.04,97000,111F
57,2019.09.03,98000,110C
58,2019.09.03,102000,110D
59,2019.09.02,104000,110E
60,2019.08.31,101500,110C
61,2019.08.29,97000,110L
62,2019.08.28,100800,110B
63,2019.08.26,96000,111F
64,2019.08.24,104500,111H
65,2019.08.24,103000,110D
66,2019.08.24,99500,111G
67,2019.08.20,100000,110E
68,2019.08.17,105000,111H
69,2019.08.17,103000,110D
70,2019.08.13,101300,110B
71,2019.08.12,103500,110D
72,2019.08.10,102000,110E
73,2019.08.10,93800,110L
74,2019.07.29,94000,111F
75,2019.07.26,98000,110B
76,2019.07.26,96500,111F
77,2019.07.21,100000,109A
78,2019.07.21,97500,109A
79,2019.07.20,100000,109A
80,2019.07.13,97000,111G
81,2019.07.12,88000,110L
82,2019.07.12,99000,111H
83,2019.07.11,95500,110L
84,2019.07.09,98000,109K
85,2019.07.08,94000,111F
86,2019.07.08,95800,109A
87,2019.07.06,96000,110B
88,2019.07.06,95000,110L
89,2019.07.06,102000,111H
90,2019.07.05,93800,110L
91,2019.07.03,96300,110B
92,2019.06.29,97000,109K
93,2019.06.29,92000,111F
94,2019.06.28,95000,110L
95,2019.06.25,95000,109K
96,2019.06.15,90000,111G
97,2019.06.15,98000,110D
98,2019.06.08,95000,109A
99,2019.06.07,90000,110B
