0,계약일,가격,타입
1,2019.08.20,59500,108B1
2,2018.08.16,61500,108B1
3,2018.07.28,62500,108B1
4,2018.07.15,60000,108C2
5,2018.06.05,56000,108B1
6,2018.05.18,60000,108B1
7,2018.03.10,60000,108B1
8,2018.03.08,59000,108B1
9,2018.02.28,55000,108B1
10,2018.02.13,52000,108B1
11,2018.02.09,59700,108B1
12,2018.01.27,51700,108B1
13,2018.01.26,51000,108B1
14,2018.01.19,52000,108B1
15,2018.01.19,52500,108B1
16,2018.01.07,51500,108C2
17,2017.12.02,48500,108B1
18,2017.07.15,58000,108B1
19,2017.07.07,51000,108B1
20,2017.07.05,52000,108B1
21,2017.07.03,48200,108B1
22,2017.06.09,47000,108B1
23,2017.03.11,51700,108B1
24,2016.10.24,52500,108B1
25,2016.09.07,51900,108B1
26,2016.07.13,50000,108B1
27,2016.05.03,49000,108B1
28,2015.12.29,47000,108B1
29,2015.11.16,52700,108B1
30,2015.11.14,51000,108B1
31,2015.10.14,52700,108C2
32,2015.09.14,51000,108B1
33,2015.02.07,44800,108B1
34,2014.09.21,42500,108C2
35,2014.07.29,43500,108B1
36,2014.04.26,42200,108B1
37,2014.03.08,43900,108B1
38,2013.10.30,39000,108C2
39,2013.09.14,42300,108B1
40,2013.05.04,38950,108B1
41,2011.10.17,45000,108B1
