0,계약일,가격,타입
1,2019.11.19,67000,106A
2,2019.10.30,66500,106A
3,2019.10.19,65500,106B
4,2019.09.27,66000,106A1
5,2019.08.17,66000,106B
6,2019.08.16,64900,106B
7,2019.08.15,64500,106B
8,2019.07.27,63000,106A1
9,2019.06.06,64500,106A1
10,2019.04.20,63000,106A
11,2018.12.08,65000,106B
12,2018.10.09,71000,106A1
13,2018.09.08,67000,106A
14,2018.09.05,70000,106B
15,2018.08.28,67000,106B
16,2018.08.25,66000,106A1
17,2018.08.25,63000,106A
18,2018.08.25,70000,106A1
19,2018.08.23,66300,106B
20,2018.08.18,64900,106B
21,2018.08.18,63500,106A
22,2018.08.18,64000,106B
23,2018.08.15,66200,106B
24,2018.08.15,62500,106A
25,2018.08.14,64900,106A1
26,2018.08.11,63500,106A
27,2018.07.12,63000,106A
28,2018.06.16,62000,106B
29,2018.05.30,62000,106A
30,2018.05.23,60000,106A
31,2018.05.05,60000,106B
32,2018.03.10,65000,106A1
33,2018.03.01,60000,106A1
34,2018.02.27,59000,106B
35,2018.02.11,54000,106B
36,2018.01.31,53200,106A
37,2018.01.29,50000,106B
38,2018.01.29,55000,106A1
39,2018.01.27,54000,106B
40,2018.01.27,53800,106A1
41,2018.01.25,46000,106A1
42,2018.01.22,53000,106B
43,2018.01.22,52650,106B
44,2018.01.20,53900,106B
45,2018.01.20,53700,106A1
46,2018.01.20,53750,106A1
47,2018.01.19,54000,106A1
48,2018.01.08,54000,106A1
49,2017.12.27,50500,106B
50,2017.12.27,53500,106A
51,2017.12.16,50450,106B
52,2017.12.02,53200,106A1
53,2017.11.27,53000,106A1
54,2017.11.25,52500,106A
55,2017.11.21,50100,106A1
56,2017.11.15,51500,106A1
57,2017.11.11,51500,106B
58,2017.10.28,53900,106A1
59,2017.10.21,53000,106B
60,2017.10.21,52700,106B
61,2017.10.20,53800,106B
62,2017.10.14,53600,106A1
63,2017.09.28,52800,106B
64,2017.09.09,50400,106B
65,2017.09.07,52500,106A
66,2017.09.02,53000,106B
67,2017.08.26,53300,106B
68,2017.08.19,52500,106A
69,2017.08.06,53000,106A
70,2017.07.31,53000,106A1
71,2017.07.29,51800,106A1
72,2017.07.15,53000,106A
73,2017.07.10,52500,106A
74,2017.07.07,53000,106B
75,2017.06.17,51500,106B
76,2017.06.10,53000,106B
77,2017.06.08,52000,106B
78,2017.04.22,52500,106B
79,2017.03.30,53600,106A
80,2017.03.14,53600,106A
81,2017.03.11,50000,106A1
82,2016.12.30,52500,106B
83,2016.12.24,50000,106B
84,2016.12.21,53800,106A1
85,2016.12.17,53000,106B
86,2016.12.04,54300,106B
87,2016.11.16,53500,106B
88,2016.11.10,54200,106B
89,2016.10.08,53500,106B
90,2016.09.10,52500,106B
91,2016.08.31,52700,106B
92,2016.08.29,51500,106A
93,2016.06.30,52750,106A
94,2016.05.16,49000,106A
95,2016.05.06,52300,106A
96,2016.05.03,53000,106A
97,2016.04.30,52300,106A
98,2016.04.19,52300,106B
99,2016.04.18,52500,106B
100,2016.02.27,52100,106B
101,2015.11.07,52000,106A
102,2015.10.03,49500,106B
103,2015.09.19,52000,106B
104,2015.09.05,52500,106B
105,2015.07.06,47000,106A1
106,2015.07.04,50900,106A
107,2015.06.20,53000,106A1
108,2015.05.17,52000,106B
109,2015.05.15,51500,106A
110,2015.05.02,52000,106A1
111,2015.04.26,52300,106B
112,2015.04.25,51000,106B
113,2015.04.18,49700,106B
114,2015.04.09,51500,106A
115,2015.01.31,48000,106B
116,2014.12.13,50000,106A
117,2014.12.08,52000,106A1
118,2014.11.11,46000,106B
119,2014.11.01,50700,106A1
120,2014.10.13,47400,106A1
121,2014.10.07,47500,106A1
122,2014.10.04,47200,106A
123,2014.09.02,48000,106B
124,2014.08.30,48400,106B
125,2014.08.24,48000,106B
126,2014.07.17,47500,106A
127,2014.07.10,46300,106A
128,2014.06.16,42000,106A1
129,2014.04.18,44500,106B
130,2014.04.05,44000,106A
131,2014.03.20,45600,106B
132,2014.03.03,44000,106B
133,2014.02.27,46000,106B
134,2014.02.22,40950,106A
135,2014.02.18,43500,106A1
136,2014.02.04,39500,106A
137,2014.01.27,45000,106B
138,2014.01.10,44000,106B
139,2013.11.16,42400,106A1
140,2013.11.15,42700,106B
141,2013.11.08,42500,106B
142,2013.10.17,44500,106B
143,2013.09.28,44300,106B
144,2013.09.03,44000,106B
145,2013.05.22,40000,106B
146,2013.05.21,44800,106B
147,2013.03.18,41200,106A
148,2012.10.04,42000,106A1
149,2012.04.12,44500,106B
150,2012.04.09,43600,106B
151,2012.03.10,43850,106A1
