0,계약일,가격,타입
1,2019.11.19,81000,111B
2,2019.11.16,79400,111B
3,2019.11.16,80000,111B
4,2019.11.16,74900,111B
5,2019.11.02,79000,111B
6,2019.10.20,81800,111B
7,2019.10.06,79000,111B
8,2019.10.06,74800,111B
9,2019.10.03,79500,111B
10,2019.09.27,80000,111B
11,2019.09.26,78000,111B
12,2019.07.22,74000,111B
13,2019.07.16,77500,111B
14,2019.07.14,76900,111B
15,2019.06.28,72500,111B
16,2018.09.17,80500,111B
17,2018.09.15,82000,111B
18,2018.08.27,77800,111B
19,2018.08.26,74700,111B
20,2018.08.20,74000,111B
21,2018.07.31,72000,111B
22,2018.07.27,71000,111B
23,2018.05.07,71500,111B
24,2018.04.04,72500,111B
25,2018.03.17,72000,111B
26,2018.02.24,75000,111B
27,2018.02.09,67500,111B
28,2018.02.04,72500,111B
29,2018.02.03,68400,111B
30,2018.01.31,71300,111B
31,2018.01.31,70000,111B
32,2018.01.27,64900,111B
33,2018.01.21,72000,111B
34,2018.01.10,69500,111B
35,2017.12.21,60000,111B
36,2017.12.16,59900,111B
37,2017.12.16,60000,111B
38,2017.12.16,60000,111B
39,2017.12.13,62000,111B
40,2017.12.11,60000,111B
41,2017.12.04,63000,111B
42,2017.11.30,59500,111B
43,2017.11.25,58300,111B
44,2017.11.25,60000,111B
45,2017.11.12,59800,111B
46,2017.11.05,59500,111B
47,2017.11.04,60000,111B
48,2017.11.03,58000,111B
49,2017.10.28,58000,111B
50,2017.10.26,57300,111B
51,2017.10.25,59500,111B
52,2017.10.25,56500,111B
53,2017.10.24,60000,111B
54,2017.10.21,56700,111B
55,2017.10.21,58000,111B
56,2017.10.20,59000,111B
57,2017.10.20,57000,111B
58,2017.10.19,58000,111B
59,2017.10.18,57600,111B
60,2017.10.17,57800,111B
61,2017.09.09,58200,111B
62,2017.09.09,58000,111B
63,2017.09.08,58000,111B
64,2017.08.31,57700,111B
65,2017.08.26,57300,111B
66,2017.08.25,56500,111B
67,2017.08.20,56000,111B
68,2017.08.19,56800,111B
69,2017.08.12,58550,111B
70,2017.08.12,56400,111B
71,2017.08.12,57500,111B
72,2017.08.07,55700,111B
73,2017.07.28,56300,111B
74,2017.07.22,55500,111B
75,2017.07.22,56000,111B
76,2017.07.17,56800,111B
77,2017.07.08,54800,111B
78,2017.06.16,54000,111B
79,2017.06.10,55800,111B
80,2017.06.10,55800,111B
81,2017.06.06,56400,111B
82,2017.06.03,55000,111B
83,2017.05.31,56400,111B
84,2017.05.30,56000,111B
85,2017.05.29,50500,111B
86,2017.05.23,56000,111B
87,2017.05.08,52700,111B
88,2017.04.06,51700,111B
89,2017.03.18,54000,111B
90,2017.02.25,55500,111B
91,2017.02.18,50200,111B
92,2017.01.25,54500,111B
93,2017.01.21,55300,111B
94,2016.11.19,56300,111B
95,2016.10.18,56500,111B
96,2016.09.26,54700,111B
97,2016.09.24,57500,111B
98,2016.08.15,55700,111B
99,2016.08.03,56500,111B
100,2016.07.30,56400,111B
101,2016.06.22,55500,111B
102,2016.05.06,55000,111B
103,2016.04.15,53000,111B
104,2016.03.25,55700,111B
105,2016.03.08,55800,111B
106,2016.01.29,56500,111B
107,2016.01.09,52000,111B
108,2015.11.15,55900,111B
109,2015.10.26,57500,111B
110,2015.10.08,55000,111B
111,2015.09.24,57200,111B
112,2015.09.18,55500,111B
113,2015.07.25,50000,111B
114,2015.07.15,54900,111B
115,2015.06.12,55500,111B
116,2015.06.10,54800,111B
117,2015.06.07,56800,111B
118,2015.04.11,53700,111B
119,2015.04.04,55500,111B
120,2015.03.06,54000,111B
121,2015.02.25,54000,111B
122,2015.02.14,55600,111B
123,2014.12.04,52900,111B
124,2014.11.29,52000,111B
125,2014.11.19,51900,111B
126,2014.10.24,49500,111B
127,2014.10.22,51900,111B
128,2014.10.11,47000,111B
129,2014.10.10,51500,111B
130,2014.09.03,50000,111B
131,2014.04.12,48500,111B
132,2014.03.31,48000,111B
133,2014.03.31,45000,111B
134,2014.03.22,43900,111B
135,2014.01.26,46600,111B
136,2014.01.21,46900,111B
137,2014.01.13,46900,111B
138,2013.12.08,46000,111B
139,2013.11.14,45000,111B
140,2013.09.25,44600,111B
141,2013.09.06,45400,111B
142,2013.05.10,44000,111B
143,2013.04.01,45000,111B
144,2012.12.22,42500,111B
145,2012.12.15,40500,111B
146,2012.10.27,42800,111B
147,2012.09.03,43000,111B
148,2019.11.29,80000,113A
149,2019.11.23,79000,113A
150,2019.11.23,80000,113A
151,2019.11.16,76400,113A
152,2019.10.19,76500,113A
153,2019.10.10,75500,113A
154,2019.10.03,79000,113A
155,2019.09.30,77000,113A
156,2019.09.16,74000,113A
157,2019.08.10,75000,114C
158,2019.08.07,79000,113A
159,2019.08.04,73000,113A
160,2019.07.22,77800,113A
161,2019.07.11,74000,113A
162,2019.07.10,74500,113A
163,2019.06.29,71700,113A
164,2019.06.29,72500,114C
165,2019.06.24,72000,113A
