0,계약일,가격,타입
1,2019.11.25,87000,111B
2,2019.11.23,89700,111A
3,2019.11.21,88500,111A
4,2019.11.20,88900,111A
5,2019.11.18,87000,111B
6,2019.11.17,86000,111B
7,2019.11.16,82500,111A
8,2019.11.16,86800,111A
9,2019.11.10,86200,111B
10,2019.11.04,89500,111A
11,2019.11.02,90000,111A
12,2019.11.01,89500,111A
13,2019.10.25,84800,111B
14,2019.10.24,85000,111B
15,2019.10.16,86500,111B
16,2019.10.15,88500,111A
17,2019.10.09,86000,111B
18,2019.09.27,84000,111A
19,2019.09.21,85000,111B
20,2019.09.20,86300,111B
21,2019.08.15,88000,111A
22,2019.08.05,87000,111A
23,2019.07.31,88200,111A
24,2019.07.31,85500,111B
25,2019.07.31,85000,111B
26,2019.07.18,86000,111A
27,2019.07.13,81500,111B
28,2019.07.10,84000,111B
29,2019.07.10,87500,111A
30,2019.06.17,86000,111A
31,2019.05.20,84000,111B
32,2018.09.22,90000,111A
33,2018.09.13,84500,111B
34,2018.09.11,87000,111A
35,2018.09.10,87000,111A
36,2018.09.09,83000,111B
37,2018.09.05,89500,111A
38,2018.09.05,79000,111A
39,2018.09.04,78000,111A
40,2018.09.02,84000,111A
41,2018.09.01,87500,111A
42,2018.09.01,84000,111B
43,2018.08.24,83000,111A
44,2018.08.22,82000,111A
45,2018.08.21,80000,111B
46,2018.08.20,81500,111A
47,2018.08.15,80500,111A
48,2018.08.14,80000,111A
49,2018.07.13,79800,111B
50,2018.07.13,79000,111A
51,2018.07.01,78900,111A
52,2018.03.21,84000,111A
53,2018.02.10,80000,111A
54,2018.02.08,83000,111A
55,2018.02.02,77800,111A
56,2018.01.30,72800,111B
57,2018.01.26,76300,111A
58,2018.01.24,72000,111B
59,2018.01.23,75000,111A
60,2018.01.23,72970,111B
61,2018.01.22,74000,111A
62,2018.01.07,66000,111A
63,2017.12.22,64500,111B
64,2017.12.16,69000,111B
65,2017.12.13,68300,111B
66,2017.11.28,70000,111A
67,2017.11.26,62500,111B
68,2017.11.24,64800,111B
69,2017.11.19,67000,111A
70,2017.11.18,69800,111A
71,2017.11.18,64800,111A
72,2017.11.16,67300,111A
73,2017.11.12,65500,111B
74,2017.11.10,66500,111B
75,2017.11.08,67000,111A
76,2017.11.07,60000,111A
77,2017.11.05,65000,111B
78,2017.11.05,65500,111A
79,2017.10.30,63000,111A
80,2017.10.29,64500,111B
81,2017.10.28,62000,111B
82,2017.10.27,69000,111A
83,2017.10.25,65700,111A
84,2017.10.21,63000,111B
85,2017.10.21,64500,111B
86,2017.10.20,65000,111A
87,2017.10.15,62900,111A
88,2017.10.14,62500,111B
89,2017.10.14,65000,111A
90,2017.10.07,60000,111A
91,2017.09.28,60000,111A
92,2017.09.23,56900,111A
93,2017.09.23,60000,111A
94,2017.09.23,63500,111B
95,2017.09.23,60000,111B
96,2017.09.22,62000,111B
97,2017.09.20,63000,111B
98,2017.09.18,64000,111A
99,2017.09.09,65500,111A
100,2017.09.08,62000,111B
101,2017.09.06,65000,111A
102,2017.09.02,65000,111A
103,2017.08.12,62000,111B
104,2017.08.12,57000,111A
105,2017.08.11,65000,111A
106,2017.08.04,63000,111A
107,2017.08.01,64000,111A
108,2017.08.01,62900,111A
109,2017.07.29,63500,111A
110,2017.07.27,64500,111A
111,2017.07.26,63000,111A
112,2017.07.22,60000,111B
113,2017.07.22,63000,111A
114,2017.07.18,65500,111A
115,2017.07.15,65000,111A
116,2017.07.07,56000,111A
117,2017.07.05,59700,111B
118,2017.06.26,63000,111A
119,2017.06.24,63400,111A
120,2017.06.19,63000,111A
121,2017.06.13,63600,111A
122,2017.06.09,59800,111B
123,2017.06.05,60000,111B
124,2017.05.29,58700,111B
125,2017.05.22,60000,111B
126,2017.05.19,59000,111B
127,2017.05.13,62600,111A
128,2017.05.13,60000,111B
129,2017.05.09,59400,111B
130,2017.05.06,59700,111A
131,2017.05.05,59250,111A
132,2017.05.03,63500,111A
133,2017.05.01,59000,111B
134,2017.04.25,58000,111B
135,2017.04.21,63500,111A
136,2017.04.06,59600,111A
137,2017.04.01,58500,111B
138,2017.03.23,60000,111A
139,2017.03.04,59500,111B
140,2017.02.10,60000,111A
141,2017.02.07,59500,111A
142,2017.01.16,54000,111B
143,2017.01.14,59750,111A
144,2016.12.17,60000,111A
145,2016.11.26,57000,111B
146,2016.10.29,59800,111B
147,2016.10.28,63500,111A
148,2016.10.26,59500,111B
149,2016.10.18,59000,111A
150,2016.10.16,56000,111A
151,2016.10.08,60000,111A
152,2016.10.08,60000,111A
153,2016.10.04,59900,111B
154,2016.10.01,60000,111A
155,2016.10.01,54500,111B
156,2016.09.25,57400,111A
157,2016.09.10,59950,111A
158,2016.09.08,63500,111A
159,2016.08.30,59000,111A
160,2016.08.26,58500,111B
161,2016.08.24,64000,111A
162,2016.08.20,60800,111B
163,2016.08.17,62000,111A
164,2016.07.25,60000,111A
165,2016.07.18,56000,111B
166,2016.06.25,59000,111B
167,2016.06.25,60000,111A
168,2016.06.23,61500,111A
169,2016.06.20,58900,111B
170,2016.06.13,61800,111A
171,2016.05.21,56700,111B
172,2016.05.17,61000,111B
173,2016.05.15,62300,111A
174,2016.05.07,61000,111A
175,2016.04.25,59000,111B
176,2016.04.19,58700,111B
177,2016.04.15,56500,111A
178,2016.03.29,59000,111B
179,2016.02.23,54000,111A
180,2016.01.30,57000,111A
181,2015.12.05,60800,111A
