0,계약일,가격,타입
1,2019.10.03,59700,109타입
2,2019.10.03,59900,109타입
3,2019.09.27,56000,109타입
4,2019.09.21,53500,109타입
5,2019.06.07,55500,109타입
6,2019.06.01,54500,109타입
7,2019.05.21,54000,109타입
8,2019.05.15,56000,109타입
9,2019.04.15,46200,109타입
10,2019.02.22,55000,109타입
11,2019.01.23,59000,109타입
12,2018.10.20,57000,109타입
13,2018.09.04,50800,109타입
14,2018.08.29,57000,109타입
15,2018.08.25,56900,109타입
16,2018.08.25,56500,109타입
17,2018.08.08,47200,109타입
18,2018.07.26,53900,109타입
19,2018.06.12,52000,109타입
20,2018.04.12,55000,109타입
21,2018.04.03,49800,109타입
22,2018.02.10,50000,109타입
23,2018.02.09,50500,109타입
24,2018.02.03,47000,109타입
25,2018.02.01,44800,109타입
26,2018.01.31,47000,109타입
27,2018.01.30,47000,109타입
28,2018.01.20,45000,109타입
29,2017.12.16,45000,109타입
30,2017.12.13,44500,109타입
31,2017.11.09,44000,109타입
32,2017.10.24,44800,109타입
33,2017.09.28,44000,109타입
34,2017.09.05,43700,109타입
35,2017.09.01,44200,109타입
36,2017.08.01,46000,109타입
37,2017.07.28,44500,109타입
38,2017.07.22,43500,109타입
39,2017.06.14,44500,109타입
40,2017.05.31,45500,109타입
41,2017.05.09,42800,109타입
42,2017.04.05,43000,109타입
43,2017.03.28,43000,109타입
44,2017.03.03,42700,109타입
45,2016.12.29,45000,109타입
46,2016.09.23,43500,109타입
47,2016.08.11,43000,109타입
48,2016.08.06,42000,109타입
49,2016.08.06,43900,109타입
50,2016.07.20,42000,109타입
51,2016.07.18,41800,109타입
52,2016.06.28,42500,109타입
53,2016.06.22,43900,109타입
54,2016.06.21,42400,109타입
55,2016.06.18,40700,109타입
56,2016.06.17,43200,109타입
57,2016.06.07,42000,109타입
58,2015.10.13,44000,109타입
59,2015.07.18,45000,109타입
60,2015.06.20,44000,109타입
61,2015.06.19,40500,109타입
62,2015.03.25,43000,109타입
63,2015.03.18,38000,109타입
64,2015.02.24,38800,109타입
65,2015.02.23,38800,109타입
66,2015.02.11,37800,109타입
67,2014.12.30,40500,109타입
68,2014.12.29,40000,109타입
69,2014.12.04,38100,109타입
70,2014.11.22,38800,109타입
71,2014.08.21,38800,109타입
72,2014.08.19,38000,109타입
73,2014.08.09,37500,109타입
74,2014.07.30,32450,109타입
75,2014.07.12,36800,109타입
76,2014.07.01,37500,109타입
77,2014.05.17,33000,109타입
78,2014.04.25,36000,109타입
79,2014.02.10,37000,109타입
80,2014.01.11,32000,109타입
81,2013.12.12,37700,109타입
82,2013.10.29,34700,109타입
83,2013.10.15,32000,109타입
84,2013.09.30,34300,109타입
85,2013.09.16,30000,109타입
86,2013.09.12,31500,109타입
87,2013.08.14,35000,109타입
88,2013.04.17,34800,109타입
89,2013.02.21,33300,109타입
90,2012.11.07,32800,109타입
91,2012.10.24,32500,109타입
92,2012.10.13,33000,109타입
93,2012.10.11,35000,109타입
94,2012.04.21,34000,109타입
95,2011.12.19,35700,109타입
96,2011.12.03,37000,109타입
97,2011.08.29,35000,109타입
98,2011.08.10,35800,109타입
99,2011.08.10,36300,109타입
100,2011.07.09,33500,109타입
101,2011.05.13,34900,109타입
102,2011.03.05,35180,109타입
103,2011.02.12,36900,109타입
104,2011.01.26,37000,109타입
105,2011.01.08,36000,109타입
106,2011.01.05,35500,109타입
107,2010.12.23,36200,109타입
108,2010.12.17,34000,109타입
109,2010.12.07,31000,109타입
110,2010.12.02,35000,109타입
111,2010.11.17,34000,109타입
112,2010.11.17,34000,109타입
113,2010.10.25,32000,109타입
114,2010.08.18,30500,109타입
115,2010.06.28,30000,109타입
116,2010.06.02,32000,109타입
117,2010.03.06,36800,109타입
118,2010.03.03,37400,109타입
119,2009.11.02,38500,109타입
120,2009.09.05,39300,109타입
121,2009.07.29,34700,109타입
122,2009.07.29,39000,109타입
123,2009.06.27,37000,109타입
124,2009.06.16,35700,109타입
125,2009.05.01,32200,109타입
126,2009.03.30,33000,109타입
127,2009.03.27,33000,109타입
128,2009.03.17,32600,109타입
129,2009.02.21,32000,109타입
130,2009.02.18,32000,109타입
131,2009.02.17,31800,109타입
132,2008.06.23,39600,109타입
133,2008.04.08,38500,109타입
134,2008.03.12,44000,109타입
135,2007.09.10,41500,109타입
136,2007.05.24,41200,109타입
137,2007.05.05,38500,109타입
138,2006.12.13,48250,109타입
139,2006.10.19,44500,109타입
140,2006.10.18,35500,109타입
141,2006.10.14,42000,109타입
142,2006.09.28,40900,109타입
143,2006.09.26,42500,109타입
144,2006.09.26,41200,109타입
145,2006.07.29,34200,109타입
146,2006.05.27,41200,109타입
147,2006.05.13,41000,109타입
148,2006.05.09,42000,109타입
149,2006.04.29,40500,109타입
150,2006.04.26,36000,109타입
151,2006.04.09,39000,109타입
152,2006.04.07,38700,109타입
153,2006.03.19,40500,109타입
154,2006.03.18,37000,109타입
155,2006.03.01,35500,109타입
156,2006.02.27,35000,109타입
157,2006.02.25,35000,109타입
158,2006.02.21,33700,109타입
159,2006.02.15,32900,109타입
160,2006.01.24,35000,109타입
161,2006.01.07,35000,109타입
