0,계약일,가격,타입
1,2019.10.13,70500,111타입
2,2019.10.07,69000,111타입
3,2019.10.01,67700,111타입
4,2019.09.28,65000,111타입
5,2019.09.26,70000,111타입
6,2019.09.10,64500,111타입
7,2019.09.04,64900,111타입
8,2019.08.30,58900,111타입
9,2019.08.26,64800,111타입
10,2019.08.24,65000,111타입
11,2019.08.20,63500,111타입
12,2019.08.20,65000,111타입
13,2019.08.17,63800,111타입
14,2019.08.15,64500,111타입
15,2019.08.06,65000,111타입
16,2019.07.25,66000,111타입
17,2019.07.20,62500,111타입
18,2019.07.16,53000,111타입
19,2019.07.06,60000,111타입
20,2019.07.01,59500,111타입
21,2019.06.27,62900,111타입
22,2019.06.24,63500,111타입
23,2019.06.24,59800,111타입
24,2019.06.18,59000,111타입
25,2019.06.15,58500,111타입
26,2019.06.15,58700,111타입
27,2019.06.15,59800,111타입
28,2019.06.11,59000,111타입
29,2019.06.08,60000,111타입
30,2019.06.06,60000,111타입
31,2019.06.03,59800,111타입
32,2019.06.01,58900,111타입
33,2019.05.30,57500,111타입
34,2019.05.25,61300,111타입
35,2019.05.21,58500,111타입
36,2019.04.16,58500,111타입
37,2018.12.30,60500,111타입
38,2018.11.10,65000,111타입
39,2018.10.23,65500,111타입
40,2018.10.17,66700,111타입
41,2018.09.28,65000,111타입
42,2018.09.21,65000,111타입
43,2018.09.01,64000,111타입
44,2018.08.31,65500,111타입
45,2018.08.29,63000,111타입
46,2018.08.25,62000,111타입
47,2018.08.23,58800,111타입
48,2018.08.22,61000,111타입
49,2018.08.18,60000,111타입
50,2018.08.15,60000,111타입
51,2018.08.14,59700,111타입
52,2018.08.09,59800,111타입
53,2018.07.31,60000,111타입
54,2018.07.21,61500,111타입
55,2018.06.30,59000,111타입
56,2018.06.23,60000,111타입
57,2018.06.19,58800,111타입
58,2018.06.16,60000,111타입
59,2018.06.16,60000,111타입
60,2018.05.10,59500,111타입
61,2018.05.07,59000,111타입
62,2018.04.26,60000,111타입
63,2018.04.21,53000,111타입
64,2018.04.13,59000,111타입
65,2018.03.28,53000,111타입
66,2018.03.24,59900,111타입
67,2018.03.19,53800,111타입
68,2018.03.03,56800,111타입
69,2018.03.03,55800,111타입
70,2018.02.14,54500,111타입
71,2018.02.14,56800,111타입
72,2018.02.03,53000,111타입
73,2018.02.03,52500,111타입
74,2018.02.01,50200,111타입
75,2018.01.30,48000,111타입
76,2018.01.27,48000,111타입
77,2018.01.26,49000,111타입
78,2018.01.25,49000,111타입
79,2018.01.24,53000,111타입
80,2018.01.20,46000,111타입
81,2018.01.19,49000,111타입
82,2018.01.16,45500,111타입
83,2018.01.15,48500,111타입
84,2018.01.13,49500,111타입
85,2018.01.09,46000,111타입
86,2018.01.09,47800,111타입
87,2018.01.09,47000,111타입
88,2018.01.06,50000,111타입
89,2018.01.06,49800,111타입
90,2018.01.02,48200,111타입
91,2017.12.16,48500,111타입
92,2017.12.16,50700,111타입
93,2017.12.15,46000,111타입
94,2017.12.04,49250,111타입
95,2017.11.25,50000,111타입
96,2017.11.16,48500,111타입
97,2017.11.14,48250,111타입
98,2017.11.11,44500,111타입
99,2017.10.31,49500,111타입
100,2017.10.31,49000,111타입
101,2017.10.21,44900,111타입
102,2017.10.14,45300,111타입
103,2017.10.13,47700,111타입
104,2017.10.12,48900,111타입
105,2017.10.10,45000,111타입
106,2017.09.26,47900,111타입
107,2017.09.23,45500,111타입
108,2017.09.18,45000,111타입
109,2017.09.16,46000,111타입
110,2017.09.16,43800,111타입
111,2017.09.16,48000,111타입
