0,계약일,가격,타입
1,2019.11.24,51000,105타입
2,2019.11.04,51500,105타입
3,2019.10.05,53500,105타입
4,2019.09.27,49000,105타입
5,2019.09.19,50000,105타입
6,2019.04.25,50500,105타입
7,2019.03.14,45000,105타입
8,2018.11.01,54400,105타입
9,2018.09.19,55000,105타입
10,2018.09.08,55000,105타입
11,2018.09.01,51000,105타입
12,2018.09.01,51800,105타입
13,2018.08.21,53000,105타입
14,2018.08.17,48100,105타입
15,2018.07.05,49300,105타입
16,2018.06.30,49200,105타입
17,2018.04.24,49000,105타입
18,2018.03.17,46500,105타입
19,2018.03.09,46500,105타입
20,2018.03.07,50000,105타입
21,2018.03.03,40800,105타입
22,2018.02.27,46000,105타입
23,2018.02.19,46000,105타입
24,2018.02.09,43000,105타입
25,2018.02.07,37000,105타입
26,2018.02.06,43000,105타입
27,2018.02.05,42000,105타입
28,2018.02.03,43000,105타입
29,2018.02.01,36800,105타입
30,2018.02.01,43900,105타입
31,2018.01.30,43000,105타입
32,2018.01.29,40700,105타입
33,2018.01.26,40700,105타입
34,2018.01.25,41700,105타입
35,2018.01.20,38300,105타입
36,2018.01.11,40000,105타입
37,2018.01.11,39700,105타입
38,2018.01.09,37000,105타입
39,2018.01.06,41350,105타입
40,2018.01.03,41000,105타입
41,2017.12.30,39300,105타입
42,2017.12.29,41000,105타입
43,2017.12.29,40700,105타입
44,2017.12.18,41000,105타입
45,2017.12.16,41800,105타입
46,2017.12.06,39000,105타입
47,2017.12.04,39500,105타입
48,2017.11.29,35900,105타입
49,2017.11.24,36600,105타입
50,2017.09.26,38500,105타입
51,2017.09.13,39400,105타입
52,2017.08.25,39500,105타입
53,2017.08.18,40900,105타입
54,2017.07.29,40000,105타입
55,2017.07.03,40500,105타입
56,2017.06.27,42900,105타입
57,2017.06.22,42300,105타입
58,2017.06.17,41000,105타입
59,2017.06.13,40000,105타입
60,2017.06.08,40000,105타입
61,2017.06.02,41300,105타입
62,2017.05.29,39000,105타입
63,2017.04.17,38300,105타입
64,2017.04.14,38500,105타입
65,2017.03.29,40800,105타입
66,2017.02.28,39500,105타입
67,2017.01.21,41000,105타입
68,2016.12.22,39400,105타입
69,2016.12.16,41400,105타입
70,2016.12.03,37000,105타입
71,2016.11.19,36300,105타입
72,2016.11.03,41700,105타입
73,2016.09.28,37000,105타입
74,2016.09.21,40500,105타입
75,2016.08.30,40900,105타입
76,2016.08.16,38500,105타입
77,2016.08.16,40500,105타입
78,2016.07.16,38750,105타입
79,2016.07.13,40000,105타입
80,2016.07.07,40300,105타입
81,2016.05.30,41500,105타입
82,2016.05.21,39000,105타입
83,2016.05.17,37750,105타입
84,2016.04.30,39300,105타입
85,2016.02.04,39500,105타입
86,2016.01.22,40000,105타입
87,2015.12.01,40000,105타입
88,2015.11.02,42000,105타입
89,2015.10.21,41200,105타입
90,2015.10.03,38400,105타입
91,2015.09.18,41700,105타입
92,2015.09.17,35500,105타입
93,2015.09.12,40900,105타입
94,2015.08.21,39100,105타입
95,2015.07.04,42000,105타입
96,2015.07.02,41700,105타입
97,2015.06.15,40000,105타입
98,2015.06.13,35700,105타입
99,2015.06.03,41600,105타입
100,2015.05.27,39000,105타입
101,2015.04.30,39500,105타입
102,2015.04.23,37300,105타입
103,2015.04.18,39500,105타입
104,2015.03.02,39000,105타입
105,2015.01.04,38300,105타입
106,2015.01.03,38600,105타입
107,2014.12.24,32500,105타입
108,2014.12.12,37700,105타입
109,2014.12.03,35850,105타입
110,2014.11.29,38400,105타입
111,2014.10.08,37000,105타입
112,2014.10.07,38000,105타입
113,2014.09.27,37400,105타입
114,2014.08.21,36500,105타입
115,2014.08.07,37500,105타입
116,2014.06.12,36300,105타입
117,2014.06.10,34900,105타입
118,2014.06.06,34800,105타입
119,2014.06.05,35600,105타입
120,2014.06.04,34000,105타입
121,2014.06.02,35250,105타입
122,2014.04.24,32800,105타입
123,2014.04.15,35700,105타입
124,2014.03.07,36900,105타입
125,2014.01.23,32000,105타입
126,2014.01.11,30500,105타입
127,2013.12.27,34000,105타입
128,2013.12.24,33700,105타입
129,2013.11.23,33000,105타입
130,2013.10.04,32700,105타입
131,2013.10.03,36000,105타입
132,2013.08.27,32900,105타입
133,2013.08.21,29750,105타입
134,2013.08.09,28500,105타입
135,2013.06.24,30000,105타입
136,2013.05.11,30000,105타입
137,2013.02.28,29000,105타입
138,2013.02.20,31000,105타입
139,2013.02.14,31500,105타입
140,2013.02.13,31400,105타입
141,2013.02.08,29500,105타입
142,2012.12.26,35000,105타입
143,2012.11.09,30200,105타입
144,2012.10.27,31200,105타입
145,2012.05.19,32000,105타입
146,2012.04.30,31500,105타입
147,2012.03.08,33500,105타입
148,2012.02.13,30000,105타입
149,2012.02.13,35000,105타입
150,2011.10.28,33000,105타입
151,2011.09.26,35000,105타입
152,2011.09.19,35200,105타입
153,2011.08.25,34500,105타입
154,2011.08.08,36750,105타입
155,2011.06.24,33500,105타입
156,2011.03.01,37000,105타입
157,2011.02.25,37000,105타입
158,2011.02.19,34000,105타입
159,2011.01.14,36000,105타입
160,2011.01.12,35000,105타입
161,2010.12.15,33200,105타입
162,2010.12.11,33700,105타입
163,2010.09.24,32450,105타입
164,2010.08.30,36000,105타입
165,2010.03.20,31000,105타입
