0,계약일,가격,타입
1,2019.11.12,72000,106타입
2,2019.10.05,66900,106타입
3,2019.09.11,66700,106타입
4,2019.08.29,59000,106타입
5,2019.08.29,59900,106타입
6,2019.08.27,65000,106타입
7,2019.08.24,65000,106타입
8,2019.07.10,60000,106타입
9,2019.06.27,63000,106타입
10,2019.06.26,62700,106타입
11,2019.06.26,62000,106타입
12,2019.06.21,60000,106타입
13,2019.06.15,60000,106타입
14,2019.06.01,59500,106타입
15,2019.04.08,66000,106타입
16,2019.04.06,60000,106타입
17,2019.02.16,59500,106타입
18,2018.11.30,65000,106타입
19,2018.11.24,65500,106타입
20,2018.10.15,68000,106타입
21,2018.09.27,60000,106타입
22,2018.09.12,62500,106타입
23,2018.09.06,64500,106타입
24,2018.09.06,63000,106타입
25,2018.08.31,65000,106타입
26,2018.08.29,60000,106타입
27,2018.08.25,59700,106타입
28,2018.08.21,60000,106타입
29,2018.08.18,60000,106타입
30,2018.07.31,60000,106타입
31,2018.07.28,53000,106타입
32,2018.07.25,57000,106타입
33,2018.07.11,57500,106타입
34,2018.06.02,59000,106타입
35,2018.05.23,53000,106타입
36,2018.05.12,58000,106타입
37,2018.04.30,60000,106타입
38,2018.04.04,55500,106타입
39,2018.03.28,56000,106타입
40,2018.03.26,54800,106타입
41,2018.03.10,56000,106타입
42,2018.03.05,54700,106타입
43,2018.03.01,54800,106타입
44,2018.02.22,51000,106타입
45,2018.02.02,49500,106타입
46,2018.01.27,49000,106타입
47,2018.01.25,48000,106타입
48,2018.01.23,50000,106타입
49,2018.01.23,49000,106타입
50,2018.01.18,45000,106타입
51,2018.01.15,48500,106타입
52,2018.01.13,49000,106타입
53,2018.01.06,47500,106타입
54,2018.01.06,47300,106타입
55,2017.12.29,46900,106타입
56,2017.12.02,48500,106타입
57,2017.11.18,46400,106타입
58,2017.11.17,47300,106타입
59,2017.11.17,45800,106타입
60,2017.11.10,47700,106타입
61,2017.11.01,48000,106타입
62,2017.09.29,42900,106타입
63,2017.09.28,42800,106타입
64,2017.09.23,46000,106타입
65,2017.09.22,46000,106타입
66,2017.09.18,45000,106타입
67,2017.09.18,47000,106타입
68,2017.09.14,44500,106타입
69,2017.09.04,44500,106타입
70,2017.08.12,45500,106타입
71,2017.08.07,43000,106타입
72,2017.08.07,42800,106타입
73,2017.07.22,45500,106타입
74,2017.07.19,44500,106타입
75,2017.07.19,44000,106타입
76,2017.07.14,44800,106타입
77,2017.07.03,44000,106타입
78,2017.07.03,46400,106타입
79,2017.06.15,43500,106타입
80,2017.06.05,44800,106타입
81,2017.05.27,45000,106타입
82,2017.05.20,44000,106타입
83,2017.05.11,43000,106타입
84,2017.05.05,43000,106타입
85,2017.02.21,43500,106타입
86,2017.01.12,41000,106타입
87,2017.01.06,43500,106타입
88,2016.12.21,43000,106타입
89,2016.12.20,39800,106타입
90,2016.10.26,45300,106타입
91,2016.10.07,44800,106타입
92,2016.10.06,42850,106타입
93,2016.07.16,44500,106타입
94,2016.07.15,43000,106타입
95,2016.07.14,44000,106타입
96,2016.06.21,44000,106타입
97,2016.06.17,45500,106타입
98,2016.05.28,45000,106타입
99,2016.05.03,42000,106타입
100,2016.01.09,45000,106타입
101,2015.10.21,45700,106타입
102,2015.10.14,46000,106타입
103,2015.10.08,40000,106타입
104,2015.08.08,44850,106타입
105,2015.07.25,44000,106타입
106,2015.07.24,45000,106타입
107,2015.07.17,46700,106타입
108,2015.07.04,44900,106타입
109,2015.07.01,46700,106타입
110,2015.06.22,45000,106타입
111,2015.06.20,46500,106타입
112,2015.06.18,44700,106타입
113,2015.06.13,41000,106타입
114,2015.05.30,44500,106타입
115,2015.05.25,44000,106타입
116,2015.05.20,44000,106타입
117,2015.05.19,43500,106타입
118,2015.05.19,44800,106타입
119,2015.04.25,47000,106타입
120,2015.04.14,44000,106타입
121,2015.04.07,43500,106타입
122,2015.03.28,44700,106타입
123,2015.03.26,39450,106타입
124,2015.03.04,45000,106타입
125,2015.03.04,41000,106타입
126,2015.02.17,43500,106타입
127,2015.02.14,43400,106타입
128,2015.02.10,40000,106타입
129,2015.01.31,42500,106타입
130,2015.01.14,43300,106타입
131,2015.01.13,42500,106타입
132,2015.01.10,42500,106타입
133,2015.01.07,42500,106타입
134,2014.12.01,43200,106타입
135,2014.10.31,42000,106타입
136,2014.10.11,40000,106타입
137,2014.10.04,42000,106타입
138,2014.10.03,41500,106타입
139,2014.09.27,42000,106타입
140,2014.09.22,42000,106타입
141,2014.09.13,41000,106타입
142,2014.09.05,41000,106타입
143,2014.09.03,41000,106타입
144,2014.08.20,40000,106타입
145,2014.06.25,39500,106타입
146,2014.05.01,40500,106타입
147,2014.04.24,34000,106타입
148,2014.03.28,40500,106타입
149,2014.03.25,40800,106타입
150,2014.02.22,39350,106타입
151,2014.02.17,40500,106타입
152,2014.02.14,38000,106타입
153,2014.02.13,35500,106타입
154,2014.02.13,39800,106타입
155,2014.02.12,39000,106타입
156,2014.02.10,34500,106타입
157,2014.02.04,38800,106타입
158,2014.02.03,34200,106타입
159,2014.02.03,38300,106타입
160,2014.01.18,38500,106타입
161,2013.11.21,36000,106타입
162,2013.10.30,37500,106타입
163,2013.10.09,37000,106타입
164,2013.09.28,37000,106타입
165,2013.09.27,39000,106타입
166,2013.09.14,36900,106타입
167,2013.09.06,37600,106타입
168,2013.09.03,36500,106타입
169,2013.08.10,35500,106타입
170,2013.06.04,33300,106타입
171,2013.06.03,33000,106타입
172,2013.05.20,36000,106타입
173,2013.05.14,36100,106타입
174,2013.04.09,36000,106타입
175,2013.03.27,36500,106타입
176,2013.03.16,32500,106타입
177,2013.03.09,33000,106타입
178,2012.12.24,33000,106타입
179,2012.11.24,33000,106타입
180,2012.10.20,36800,106타입
181,2012.10.11,37500,106타입
182,2012.03.26,33800,106타입
183,2012.02.24,35000,106타입
184,2012.02.22,38000,106타입
185,2012.02.16,34000,106타입
186,2012.01.20,38500,106타입
187,2011.12.13,41300,106타입
188,2011.12.12,34700,106타입
189,2011.10.13,41700,106타입
190,2011.09.28,38000,106타입
191,2011.09.10,40200,106타입
192,2011.06.17,37000,106타입
193,2011.06.11,38000,106타입
194,2011.05.25,41700,106타입
195,2011.04.07,40000,106타입
196,2011.03.05,39000,106타입
197,2011.02.16,38900,106타입
198,2011.01.24,41000,106타입
199,2011.01.17,38500,106타입
200,2011.01.11,37800,106타입
201,2010.12.26,39000,106타입
202,2010.12.25,35800,106타입
203,2010.12.04,36900,106타입
204,2010.12.01,37000,106타입
205,2010.12.01,39000,106타입
206,2010.11.30,37000,106타입
207,2010.10.29,35750,106타입
208,2010.10.16,36850,106타입
209,2010.10.05,36900,106타입
210,2010.09.03,34600,106타입
211,2010.01.09,39400,106타입
212,2009.12.16,36900,106타입
213,2009.11.11,39200,106타입
214,2009.08.31,41000,106타입
215,2009.08.29,40500,106타입
216,2009.08.29,41800,106타입
217,2009.08.28,42000,106타입
218,2009.08.26,42000,106타입
219,2009.08.11,39500,106타입
220,2009.08.07,37000,106타입
221,2009.08.03,43000,106타입
222,2009.07.27,39000,106타입
223,2009.07.16,38300,106타입
224,2009.06.30,40000,106타입
225,2009.06.26,37000,106타입
226,2009.06.23,39500,106타입
227,2009.06.22,39450,106타입
228,2009.06.20,40000,106타입
229,2009.06.15,37500,106타입
230,2009.06.13,40000,106타입
231,2009.06.12,38800,106타입
232,2009.06.12,37700,106타입
233,2009.06.06,37000,106타입
234,2009.06.01,39850,106타입
235,2009.05.19,40000,106타입
236,2009.05.09,37800,106타입
237,2009.04.28,34700,106타입
238,2009.04.15,35500,106타입
239,2009.04.11,38000,106타입
240,2009.04.07,36000,106타입
241,2009.04.06,35000,106타입
242,2009.04.02,33500,106타입
243,2009.03.07,33000,106타입
244,2009.03.02,35250,106타입
245,2009.02.16,34800,106타입
246,2009.02.11,32400,106타입
247,2009.02.09,32300,106타입
248,2009.02.03,36000,106타입
249,2009.02.02,31500,106타입
250,2009.02.02,29000,106타입
251,2009.01.31,38000,106타입
252,2009.01.10,42000,106타입
253,2008.11.30,30000,106타입
254,2007.07.24,41000,106타입
255,2006.10.20,29000,106타입
256,2006.09.04,29000,106타입
257,2006.07.18,29000,106타입
258,2006.07.18,30000,106타입
259,2006.07.13,38000,106타입
260,2006.07.07,28100,106타입
261,2006.07.06,29500,106타입
262,2006.07.06,28450,106타입
263,2006.07.05,26950,106타입
264,2006.07.01,28000,106타입
265,2006.07.01,28000,106타입
266,2006.06.30,28600,106타입
267,2006.06.30,27500,106타입
268,2006.06.29,30000,106타입
269,2006.06.29,29000,106타입
270,2006.06.29,30000,106타입
271,2006.06.29,28500,106타입
272,2006.06.28,30500,106타입
273,2006.06.28,30500,106타입
274,2006.06.28,28600,106타입
275,2006.06.27,28500,106타입
276,2006.06.27,25000,106타입
277,2006.06.27,28950,106타입
278,2006.06.26,30500,106타입
279,2006.06.26,25450,106타입
280,2006.06.26,28250,106타입
281,2006.06.26,27950,106타입
282,2006.06.24,29200,106타입
283,2006.06.24,30000,106타입
284,2006.06.23,29150,106타입
285,2006.06.23,27000,106타입
286,2006.06.21,30150,106타입
