0,계약일,가격,타입
1,2019.10.19,120000,130A
2,2019.10.12,114500,129C
3,2019.10.12,110000,129C
4,2019.10.09,114500,129C
5,2019.09.28,119000,129C
6,2019.08.14,110000,129C
7,2019.08.07,109500,129C
8,2019.06.18,104500,130A
9,2019.06.15,107000,129C
10,2019.05.25,103200,129C
11,2019.05.15,90000,131D
12,2018.10.18,112500,129C
13,2018.09.19,108000,129C
14,2018.09.03,105000,131D
15,2018.08.20,108000,129C
16,2018.08.13,108000,131D
17,2018.08.11,105000,130A
18,2018.08.10,108000,129C
19,2018.02.22,95000,129C
20,2018.02.20,100000,129C
21,2018.02.09,90000,129C
22,2018.02.07,93000,129C
23,2018.02.06,89500,131E
24,2018.01.20,82000,131E
25,2018.01.20,82500,131D
26,2018.01.06,83000,131D
27,2018.01.06,85000,129C
28,2017.12.30,87000,129C
29,2017.12.02,84000,129C
30,2017.11.25,80000,131D
31,2017.11.15,80000,129C
32,2017.11.11,82500,129C
33,2017.11.02,82500,129C
34,2017.10.28,78000,129C
35,2017.10.14,81000,129C
36,2017.09.13,79400,129C
37,2017.09.08,80000,129C
38,2017.08.28,74000,131D
39,2017.08.26,75900,131D
40,2017.08.18,80300,129C
41,2017.08.17,79000,131D
42,2017.08.14,81500,129C
43,2017.08.12,79700,129C
44,2017.07.30,81000,129C
45,2017.07.29,79000,129C
46,2017.07.26,74000,130A
47,2017.07.26,78000,129C
48,2017.07.22,76000,131D
49,2017.07.19,73500,130A
50,2017.07.10,75000,129C
51,2017.07.05,76000,129C
52,2017.07.01,79800,129C
53,2017.06.17,78500,129C
54,2017.05.29,72700,131D
55,2017.05.27,76250,129C
56,2017.05.23,74800,131E
57,2017.04.26,74000,130A
58,2017.04.08,74700,129C
59,2017.02.18,73000,130A
60,2016.11.23,75700,129C
61,2016.10.15,81000,129C
62,2016.10.07,76000,129C
63,2016.09.13,80800,129C
64,2016.08.05,76700,129C
65,2016.07.30,81800,129C
66,2016.07.30,75500,131D
67,2016.07.22,80500,129C
68,2016.07.06,75000,129C
69,2015.11.29,85000,129C
70,2015.08.01,72000,130A
71,2015.07.03,78500,129C
72,2015.06.06,77300,130A
73,2015.05.21,78000,129C
74,2015.04.21,76900,129C
75,2015.04.08,71900,129C
76,2015.03.13,70000,131D
77,2015.03.01,61000,129C
78,2015.01.19,67000,130A
79,2015.01.17,68000,130A
80,2014.11.04,68500,129C
81,2014.10.04,62000,130A
82,2014.09.27,67500,131D
83,2014.09.22,64000,129C
84,2014.09.14,65500,131D
85,2014.07.26,59700,131D
86,2014.07.23,59500,129C
87,2014.07.23,58000,131E
88,2014.07.21,68000,131E
89,2014.05.22,59800,131D
90,2014.04.13,55000,131E
91,2013.10.12,59800,131D
92,2013.06.21,60500,129C
93,2013.06.09,58700,130A
94,2013.04.01,58000,130A
95,2019.05.11,93000,132B
96,2018.01.26,85000,132B
97,2017.09.16,74000,132B
98,2017.04.29,70000,132B
99,2016.07.20,75000,132B
100,2014.10.20,65500,132B
101,2014.04.03,58500,132B
102,2013.08.24,58500,132B
103,2019.11.11,116000,137H
104,2019.11.09,114000,137H
105,2019.11.02,107300,136G
106,2019.10.16,113000,137H
107,2019.10.02,106000,136G
108,2019.09.28,109000,136G
109,2019.08.31,104500,136G
110,2019.08.29,112000,136F
111,2019.08.23,115000,137H
112,2019.08.15,110000,136F
113,2019.06.29,109000,136F
114,2019.06.27,109000,137H
115,2019.06.25,98000,137H
116,2019.06.21,104000,137H
