date,value
2006 2,1.27
2006 3,2.29
2006 4,2.47
2006 5,1.87
2006 6,1.02
2006 7,0.54
2006 8,0.39
2006 9,1.15
2006 10,1.71
2006 11,4.18
2006 12,3.29
2007 1,2.17
2007 2,0.82
2007 3,0.67
2007 4,0.13
2007 5,-0.09
2007 6,-0.16
2007 7,0.26
2007 8,0.32
2007 9,0.09
2007 10,0.35
2007 11,0.47
2007 12,0.28
2008 1,0.16
2008 2,0.22
2008 3,0.48
2008 4,1.36
2008 5,0.92
2008 6,1.21
2008 7,0.36
2008 8,0.26
2008 9,-0.01
2008 10,0.18
2008 11,0.04
2008 12,-0.4
2009 1,-0.65
2009 2,-0.06
2009 3,-0.33
2009 4,0.32
2009 5,0.35
2009 6,1.44
2009 7,0.6
2009 8,0.31
2009 9,1.2
2009 10,0.42
2009 11,0.18
2009 12,0.04
2010 1,0.21
2010 2,0.46
2010 3,-0.17
2010 4,0
2010 5,-0.13
2010 6,-0.53
2010 7,-0.8
2010 8,-0.44
2010 9,-0.19
2010 10,-0.13
2010 11,-0.08
2010 12,0.01
2011 1,0.02
2011 2,0.31
2011 3,0.21
2011 4,-0.05
2011 5,-0.05
2011 6,-0.09
2011 7,-0.04
2011 8,-0.12
2011 9,-0.11
2011 10,-0.2
2011 11,-0.18
2011 12,-0.3
2012 1,-0.01
2012 2,-0.09
2012 3,-0.34
2012 4,-0.24
2012 5,-0.21
2012 6,-0.72
2012 7,-0.72
2012 8,-0.86
2012 9,-0.75
2012 10,-0.62
2012 11,-1.02
2012 12,-0.44
2013 1,-1.07
2013 2,-0.42
2013 3,-0.02
2013 4,0.54
2013 5,0.16
2013 6,-0.54
2013 7,-0.98
2013 8,-0.43
2013 9,0.26
2013 10,0.13
2013 11,0.03
2013 12,-0.54
2014 1,0.2
2014 2,0.37
2014 3,0.72
2014 4,0.17
2014 5,0.11
2014 6,-0.14
2014 7,-0.05
2014 8,0.24
2014 9,0.23
2014 10,0.14
2014 11,0.36
2014 12,0.06
2015 1,0.11
2015 2,0.18
2015 3,0.17
2015 4,0.61
2015 5,0.73
2015 6,0.76
2015 7,0.59
2015 8,0.4
2015 9,0.52
2015 10,0.72
2015 11,0.8
2015 12,0.61
2016 1,0.19
2016 2,-0.04
2016 3,-0.01
2016 4,0.09
2016 5,0.24
2016 6,0.23
2016 7,0.39
2016 8,0.23
2016 9,0.37
2016 10,0.5
2016 11,0.63
2016 12,0.25
2017 1,0.12
2017 2,0.13
2017 3,0.24
2017 4,0.52
2017 5,0.63
2017 6,0.95
2017 7,0.69
2017 8,0.58
2017 9,0.13
2017 10,0.22
2017 11,0.44
2017 12,1.03
2018 1,0.53
2018 2,0.94
2018 3,0.65
2018 4,0.55
2018 5,0.37
2018 6,0.39
2018 7,0.99
2018 8,1.43
2018 9,1.98
2018 10,0.52
2018 11,0.15
2018 12,-0.04
2019 1,-0.2
2019 2,-0.15
2019 3,-0.27
2019 4,-0.13
2019 5,-0.14
2019 6,-0.11
2019 7,0.15
2019 8,0.14
2019 9,0.2
2019 10,0.57
2019 11,0.76
