0,계약일,가격,타입
1,2019.10.31,48000,109타입
2,2019.10.28,52000,109타입
3,2019.10.14,48500,109타입
4,2019.10.14,50000,109타입
5,2019.10.11,52900,109타입
6,2019.09.26,51800,111C
7,2019.09.24,53500,111C
8,2019.09.16,53500,111C
9,2019.09.04,52000,111B
10,2019.09.02,47000,109타입
11,2019.08.28,52500,109타입
12,2019.08.16,51600,109타입
13,2019.08.10,51500,109타입
14,2019.08.08,52000,109타입
15,2019.07.30,55000,111C
16,2019.07.15,47800,111C
17,2019.07.11,52000,109타입
18,2019.07.09,49500,111C
19,2019.07.05,49900,109타입
20,2019.06.27,51700,109타입
21,2019.06.26,41250,109타입
22,2019.06.24,53000,111A
23,2019.06.12,51000,111A
24,2019.06.11,48250,109타입
25,2019.05.30,50500,111B
26,2019.05.30,49900,111C
27,2019.05.29,49000,111A
28,2019.05.06,52000,109타입
29,2019.05.02,51500,109타입
30,2019.05.01,49500,111B
31,2019.04.19,49800,109타입
32,2019.04.13,48700,109타입
33,2019.04.08,54000,109타입
34,2019.03.21,51500,111C
35,2019.03.12,42500,111A
36,2019.03.01,44000,109타입
37,2019.03.01,51000,109타입
38,2018.12.31,40400,111C
39,2018.12.22,53000,109타입
40,2018.11.20,49700,111A
41,2018.11.13,54000,111A
42,2018.10.31,52000,109타입
43,2018.10.29,58000,109타입
44,2018.10.26,53000,111B
45,2018.10.19,55000,111B
46,2018.10.11,54500,111B
47,2018.10.09,56000,111B
48,2018.10.09,56800,111B
49,2018.10.03,43500,111A
50,2018.09.29,53750,111B
51,2018.09.20,57500,111C
52,2018.09.13,54300,109타입
53,2018.09.12,55000,111A
54,2018.09.12,55700,109타입
55,2018.09.11,55500,111C
56,2018.09.05,55000,109타입
57,2018.09.05,54000,109타입
58,2018.09.04,53000,111C
59,2018.08.31,56000,111B
60,2018.08.31,53700,111A
61,2018.08.31,55200,111B
62,2018.08.30,52000,109타입
63,2018.08.30,53400,109타입
64,2018.08.25,49900,111A
65,2018.08.21,45500,111C
66,2018.08.21,48000,111A
67,2018.08.20,47000,111B
68,2018.08.20,44000,109타입
69,2018.08.20,47700,111B
70,2018.08.20,49500,111C
71,2018.08.18,47500,111C
72,2018.08.17,47000,109타입
73,2018.08.15,45000,109타입
74,2018.08.15,47000,109타입
75,2018.08.15,43000,109타입
76,2018.08.15,48000,109타입
77,2018.08.15,46000,109타입
78,2018.08.11,45000,109타입
79,2018.08.11,45000,111B
80,2018.08.07,45000,109타입
81,2018.08.06,47000,111C
82,2018.07.30,46500,109타입
83,2018.07.30,45200,109타입
84,2018.07.30,42000,111C
85,2018.07.25,46300,111C
86,2018.07.25,44900,109타입
87,2018.07.24,45750,111C
88,2018.07.23,45900,109타입
89,2018.07.21,42800,111B
90,2018.07.21,44900,109타입
91,2018.07.20,45400,109타입
92,2018.07.19,41500,111A
93,2018.07.05,43200,111B
94,2018.07.04,43000,109타입
95,2018.07.04,44400,111A
96,2018.07.03,45900,111B
97,2018.07.03,46000,109타입
98,2018.07.03,43600,109타입
99,2018.06.30,46400,109타입
100,2018.06.30,44800,109타입
101,2018.06.26,43500,109타입
102,2018.06.26,44500,109타입
103,2018.06.23,43300,111C
104,2018.06.15,40600,109타입
105,2018.06.13,45000,111B
106,2018.06.11,44400,109타입
107,2018.06.04,39200,111A
108,2018.05.31,43000,111A
109,2018.05.31,43300,109타입
110,2018.05.28,41500,111A
111,2018.05.26,39900,111A
112,2018.05.25,42500,111A
113,2018.05.23,45800,111C
114,2018.05.19,47700,111C
115,2018.05.14,45000,109타입
116,2018.05.12,44000,109타입
117,2018.05.12,40700,111A
118,2018.05.03,45800,111B
119,2018.05.02,43600,111C
120,2018.05.01,44000,111A
121,2018.04.26,45000,111C
122,2018.04.26,46000,111C
123,2018.04.25,39500,111A
124,2018.04.20,43400,111B
125,2018.04.14,44500,111A
126,2018.04.06,44000,109타입
127,2018.04.05,41900,109타입
128,2018.03.31,42400,111A
129,2018.03.26,41300,109타입
130,2018.03.24,43950,109타입
131,2018.03.24,45000,111C
132,2018.03.24,41900,111A
133,2018.03.20,44850,109타입
134,2018.03.15,41900,109타입
135,2018.03.14,40800,111A
136,2018.03.12,43150,111C
137,2018.03.10,42000,111B
138,2018.03.08,40970,109타입
139,2018.03.07,40000,111A
140,2018.03.06,43350,109타입
141,2018.03.06,42000,109타입
142,2018.03.02,43000,109타입
143,2018.02.28,40000,109타입
144,2018.02.26,45000,109타입
145,2018.02.24,42000,111C
146,2018.02.20,42700,109타입
147,2018.02.19,44000,109타입
148,2018.02.10,41000,109타입
149,2018.02.10,43800,109타입
150,2018.02.08,41000,111A
151,2018.02.08,40000,111A
152,2018.02.05,40000,109타입
153,2018.02.02,43000,111C
154,2018.01.31,42800,109타입
155,2018.01.27,41000,109타입
156,2018.01.26,40000,111B
157,2018.01.25,45000,111C
