0,계약일,가격,타입
1,2019.10.30,64500,110타입
2,2019.10.29,60000,110타입
3,2019.10.03,59800,110타입
4,2019.09.21,62300,110타입
5,2019.07.16,57500,110타입
6,2019.06.27,56500,110타입
7,2019.05.22,58000,110타입
8,2019.05.13,60000,110타입
9,2018.12.05,59500,110타입
10,2018.10.15,56740,110타입
11,2018.09.11,59950,110타입
12,2018.08.26,59500,110타입
13,2018.08.13,57000,110타입
14,2018.01.22,48900,110타입
15,2017.09.15,49500,110타입
16,2017.09.02,48000,110타입
17,2017.07.14,45850,110타입
18,2017.07.13,49800,110타입
19,2017.06.16,47500,110타입
20,2017.06.03,47000,110타입
21,2017.05.26,47000,110타입
22,2017.04.26,47800,110타입
23,2017.04.09,47100,110타입
24,2017.03.28,46500,110타입
25,2017.03.13,46000,110타입
26,2017.02.25,48200,110타입
27,2017.02.22,42000,110타입
28,2016.12.21,43000,110타입
29,2016.11.13,48300,110타입
30,2016.10.06,46000,110타입
31,2016.09.28,49000,110타입
32,2016.09.11,45400,110타입
33,2016.09.10,47500,110타입
34,2016.09.02,42500,110타입
35,2016.07.15,44000,110타입
36,2016.06.01,45000,110타입
37,2016.05.24,43800,110타입
38,2016.03.25,44500,110타입
39,2015.12.03,46500,110타입
40,2015.11.16,45800,110타입
41,2015.11.03,43700,110타입
42,2015.08.18,45000,110타입
43,2015.08.08,45150,110타입
44,2015.07.30,40300,110타입
45,2015.07.19,44500,110타입
46,2015.07.14,45000,110타입
47,2015.07.13,42000,110타입
48,2015.06.02,45500,110타입
49,2015.05.04,46600,110타입
50,2015.04.22,46000,110타입
51,2015.04.03,46100,110타입
52,2015.03.16,41000,110타입
53,2015.01.11,46000,110타입
54,2014.12.03,41000,110타입
55,2014.10.22,39805,110타입
56,2014.10.17,39500,110타입
57,2014.08.22,39000,110타입
58,2014.08.20,46000,110타입
59,2014.08.05,41500,110타입
60,2014.06.21,42400,110타입
61,2014.06.19,40800,110타입
62,2014.05.03,41250,110타입
63,2014.03.25,41900,110타입
64,2014.02.26,40900,110타입
65,2014.02.17,39000,110타입
66,2014.02.13,38000,110타입
67,2014.02.11,43200,110타입
68,2013.10.15,40200,110타입
69,2013.09.25,39800,110타입
70,2013.09.16,40000,110타입
71,2013.06.27,42450,110타입
72,2013.04.27,43000,110타입
73,2013.04.26,42000,110타입
74,2013.03.30,44800,110타입
75,2013.03.30,41000,110타입
76,2013.03.14,43200,110타입
77,2013.03.13,41000,110타입
78,2013.03.10,43000,110타입
79,2012.12.12,43000,110타입
80,2012.11.15,45000,110타입
81,2012.10.24,38000,110타입
82,2012.08.24,38800,110타입
83,2012.07.06,37000,110타입
84,2012.01.21,44000,110타입
85,2011.12.02,45000,110타입
86,2011.07.11,45200,110타입
87,2011.02.22,48500,110타입
88,2011.01.27,44900,110타입
89,2011.01.14,47700,110타입
90,2010.12.21,47750,110타입
91,2010.11.16,45000,110타입
92,2010.08.24,41000,110타입
93,2009.12.28,46850,110타입
94,2009.10.25,49000,110타입
95,2009.09.30,44000,110타입
96,2009.01.23,43150,110타입
97,2009.01.02,51000,110타입
98,2008.06.05,49200,110타입
99,2008.06.02,38000,110타입
100,2008.05.27,41700,110타입
101,2008.05.21,49200,110타입
102,2008.02.25,48200,110타입
103,2007.10.29,41500,110타입
104,2007.10.12,41000,110타입
105,2007.08.21,47500,110타입
106,2007.04.13,38500,110타입
107,2007.04.13,31500,110타입
108,2007.01.11,40500,110타입
