0,계약일,가격,타입
1,2019.08.31,45700,102타입
2,2019.08.27,47900,102타입
3,2019.08.21,48000,102타입
4,2019.08.10,45900,102타입
5,2019.07.27,49000,102타입
6,2019.07.08,47000,102타입
7,2019.06.07,47000,102타입
8,2019.05.27,48500,102타입
9,2019.05.03,45000,102타입
10,2019.04.04,45000,102타입
11,2019.04.01,49000,102타입
12,2018.11.24,49000,102타입
13,2018.11.23,49000,102타입
14,2018.11.10,50500,102타입
15,2018.10.27,50000,102타입
16,2018.10.26,47900,102타입
17,2018.09.15,43500,102타입
18,2018.09.15,50000,102타입
19,2018.09.11,50000,102타입
20,2018.09.10,42000,102타입
21,2018.09.03,45900,102타입
22,2018.08.25,46000,102타입
23,2018.08.25,41000,102타입
24,2018.08.24,43000,102타입
25,2018.08.22,45000,102타입
26,2018.08.22,44000,102타입
27,2018.08.21,38800,102타입
28,2018.08.20,42000,102타입
29,2018.08.18,45000,102타입
30,2018.08.18,42200,102타입
31,2018.08.15,41300,102타입
32,2018.08.14,40000,102타입
33,2018.08.11,41900,102타입
34,2018.08.10,42500,102타입
35,2018.07.28,42900,102타입
36,2018.07.28,41500,102타입
37,2018.07.16,40000,102타입
38,2018.07.14,37800,102타입
39,2018.07.02,41300,102타입
40,2018.06.23,42000,102타입
41,2018.06.11,38000,102타입
42,2018.05.22,41500,102타입
43,2018.05.03,40900,102타입
44,2018.04.19,39300,102타입
45,2018.04.17,42500,102타입
46,2018.04.07,41500,102타입
47,2018.04.03,41600,102타입
48,2018.03.28,40500,102타입
49,2018.03.24,40000,102타입
50,2018.03.10,41800,102타입
51,2018.03.05,40500,102타입
52,2018.02.14,40000,102타입
53,2018.02.10,39900,102타입
54,2018.02.10,39300,102타입
55,2018.02.06,39800,102타입
56,2018.01.30,36900,102타입
57,2018.01.29,39850,102타입
58,2018.01.23,40900,102타입
59,2018.01.22,38600,102타입
60,2017.12.23,38500,102타입
61,2017.12.01,39900,102타입
62,2017.12.01,39000,102타입
63,2017.11.14,38850,102타입
64,2017.11.11,39000,102타입
