0,계약일,가격,타입
1,2019.11.09,72500,112B
2,2019.10.17,76000,112B
3,2019.10.16,74800,112A
4,2019.10.15,74900,112B
5,2019.09.19,68500,112B
6,2019.09.09,73500,112A
7,2019.07.27,74500,112B
8,2019.03.15,60000,112A
9,2018.12.28,68000,112B
10,2018.09.09,61500,112B
11,2018.09.07,68000,112B
12,2018.07.14,65000,112A
13,2018.07.06,66500,112B
14,2018.06.06,62500,112A
15,2017.12.07,54000,112A
16,2017.11.20,58000,112B
17,2017.10.31,56700,112A
18,2017.10.02,56000,112B
19,2017.08.29,52000,112A
20,2017.08.08,49800,112B
21,2017.07.24,51750,112B
22,2017.05.29,53000,112A
23,2017.05.18,49700,112B
24,2017.05.13,47200,112B
25,2017.04.22,50500,112B
26,2017.03.21,52200,112B
27,2017.02.16,53000,112A
28,2016.11.03,50000,112B
29,2016.09.20,52000,112A
30,2016.08.25,47000,112A
31,2016.08.06,46300,112B
32,2016.07.28,50000,112A
33,2016.07.26,46500,112B
34,2016.07.08,47000,112B
35,2016.05.21,44500,112A
36,2016.05.14,49500,112A
37,2016.04.25,47400,112A
38,2016.04.22,48000,112B
39,2016.04.12,48000,112A
40,2016.02.26,47700,112B
41,2016.02.16,47500,112B
42,2015.11.16,48200,112B
43,2015.09.26,49750,112A
44,2015.09.16,48000,112B
45,2015.07.27,44300,112A
46,2015.07.22,42000,112B
47,2015.07.06,42500,112B
48,2015.06.09,41600,112B
49,2015.06.09,47000,112A
50,2015.05.29,47000,112B
51,2015.05.26,46000,112A
52,2015.05.16,47500,112A
53,2015.05.07,45200,112B
54,2015.04.25,45000,112A
55,2015.04.16,45000,112A
56,2015.03.17,48700,112A
57,2015.03.14,46800,112B
58,2015.03.11,48000,112B
59,2015.02.09,46700,112B
60,2015.01.26,42900,112B
61,2015.01.21,46000,112A
62,2015.01.13,44500,112B
63,2014.12.15,46000,112A
64,2014.11.26,42500,112A
65,2014.08.26,43350,112A
66,2014.08.22,44900,112B
67,2014.07.26,45000,112B
68,2014.04.30,44000,112B
69,2014.04.12,45000,112A
70,2014.04.10,43500,112A
71,2014.03.20,42800,112B
72,2014.03.19,45500,112A
73,2014.03.03,43300,112A
74,2013.12.30,41500,112A
75,2013.09.12,43000,112A
76,2013.07.18,40000,112B
77,2013.06.19,43900,112A
78,2013.05.25,43700,112A
79,2013.04.23,43900,112A
80,2013.02.21,43200,112A
81,2012.10.22,43000,112A
82,2012.10.04,45800,112B
83,2012.10.02,43000,112A
84,2012.09.22,42500,112A
85,2012.06.05,44700,112B
86,2011.12.03,45800,112B
87,2011.10.01,42750,112A
88,2011.09.14,46000,112A
89,2011.09.08,47800,112B
90,2011.06.06,42500,112A
91,2011.03.03,48500,112A
92,2011.02.26,44700,112B
93,2011.02.24,41000,112B
94,2011.02.11,39000,112A
95,2011.02.08,47200,112A
96,2011.01.20,41600,112B
97,2011.01.06,44000,112A
98,2010.06.27,47000,112A
99,2010.06.22,44800,112B
100,2010.05.05,39000,112B
101,2010.04.18,44700,112A
102,2010.02.17,41500,112A
103,2010.02.11,48300,112B
104,2010.01.29,48500,112A
105,2009.09.16,47000,112B
106,2009.08.24,49900,112A
107,2009.08.01,43800,112B
108,2009.07.10,45400,112B
109,2009.06.30,45000,112B
110,2009.05.31,47500,112A
111,2009.04.07,47300,112A
112,2009.03.21,47250,112B
113,2009.02.27,47500,112B
114,2008.08.18,50000,112B
115,2008.06.08,49500,112B
116,2008.05.23,51200,112B
117,2008.05.14,50700,112A
118,2008.04.06,48900,112A
119,2008.03.23,47800,112B
120,2007.07.16,45500,112A
121,2006.12.02,45000,112A
122,2006.11.05,40000,112A
123,2006.11.03,35300,112B
124,2006.11.03,42700,112B
125,2006.11.03,40000,112B
126,2006.10.31,36300,112A
127,2006.10.30,39100,112A
128,2006.10.26,39250,112B
129,2006.10.23,37500,112A
130,2006.10.04,38000,112B
131,2006.09.22,39500,112A
132,2006.09.06,38200,112B
133,2006.08.22,38400,112A
134,2006.08.04,37500,112B
135,2006.07.31,35300,112A
136,2006.05.15,38300,112A
137,2006.04.26,37500,112B
138,2006.04.03,37300,112B
139,2006.03.05,37000,112A
140,2006.02.13,33000,112A
141,2006.02.10,37000,112A
