0,계약일,가격,타입
1,2019.11.15,40000,105N
2,2019.11.01,50500,105N
3,2019.10.03,48000,104S
4,2019.09.23,50100,105N
5,2019.09.23,50100,105N
6,2019.09.18,48000,105N
7,2019.08.13,43000,105N
8,2019.07.29,49000,105N
9,2019.07.10,47000,105N
10,2019.07.01,49000,105N
11,2019.05.28,49000,105N
12,2019.05.22,46500,104S
13,2019.04.30,43000,105N
14,2018.12.19,47200,105N
15,2018.12.17,45200,105N
16,2018.11.02,49700,104S
17,2018.10.17,50000,105N
18,2018.09.12,45000,105N
19,2018.09.12,40750,105N
20,2018.09.01,42000,104S
21,2018.08.27,41000,105N
22,2018.08.25,40000,104S
23,2018.08.24,37900,105N
24,2018.08.21,41000,104S
25,2018.08.01,37500,105N
26,2018.06.07,38800,104S
27,2018.06.03,39000,105N
28,2018.06.01,36700,104S
29,2018.05.22,38200,104S
30,2018.05.21,40500,105N
31,2018.05.08,36000,105N
32,2018.05.01,37500,105N
33,2018.04.11,40800,105N
34,2018.03.24,42700,105N
35,2018.03.22,41300,105N
36,2018.03.15,39000,104S
37,2018.03.14,39000,104S
38,2018.03.13,39000,104S
39,2018.03.01,37000,105N
40,2018.02.22,38700,105N
41,2018.01.23,40000,104S
42,2018.01.20,39300,105N
43,2018.01.16,40000,105N
44,2018.01.11,42000,105N
45,2017.12.15,41500,105N
46,2017.11.21,37500,105N
47,2017.11.09,35000,105N
48,2017.10.16,41800,105N
49,2017.10.02,36800,104S
50,2017.09.21,39000,104S
51,2017.09.06,38500,105N
52,2017.08.24,38500,104S
53,2017.08.14,40000,105N
54,2017.07.26,37700,104S
55,2017.07.25,39500,105N
56,2017.07.21,39000,105N
57,2017.07.20,36400,104S
58,2017.07.08,37400,105N
59,2017.06.07,37900,104S
60,2017.06.05,38000,104S
61,2017.06.02,35000,104S
62,2017.05.24,37800,104S
63,2017.05.02,34300,104S
64,2017.04.22,35500,105N
65,2017.04.13,37000,105N
66,2017.04.10,37000,105N
67,2017.03.04,34000,105N
68,2016.12.27,38000,104S
69,2016.12.08,36500,104S
70,2016.12.01,32000,104S
71,2016.11.28,37800,105N
72,2016.10.25,37000,105N
73,2016.10.13,35000,104S
74,2016.10.10,37500,105N
75,2016.09.19,37000,104S
76,2016.09.09,38000,105N
77,2016.09.03,36300,105N
78,2016.08.27,37200,105N
79,2016.08.15,37000,105N
80,2016.08.05,35500,105N
81,2016.07.26,32500,104S
82,2016.07.12,39300,105N
83,2016.07.07,35000,105N
84,2016.07.06,36500,105N
85,2016.07.02,34250,104S
86,2016.07.02,35000,104S
87,2016.06.30,34250,104S
88,2016.06.29,35000,105N
89,2016.06.28,33000,104S
90,2016.06.16,38000,105N
91,2016.05.27,34000,105N
92,2016.05.19,34000,105N
93,2016.04.30,36000,104S
94,2016.04.25,34000,105N
95,2016.04.21,36500,105N
96,2016.02.23,37400,105N
97,2016.01.21,33500,105N
98,2016.01.15,37500,105N
99,2016.01.09,37200,105N
100,2015.11.24,34100,105N
101,2015.10.27,35700,105N
102,2015.10.14,34000,105N
103,2015.10.01,34000,105N
104,2015.09.14,34000,105N
105,2015.09.08,36100,105N
106,2015.08.22,34500,105N
107,2015.08.10,30500,104S
108,2015.07.30,34000,105N
109,2015.07.28,36000,105N
110,2015.07.22,34000,104S
111,2015.07.06,37000,105N
112,2015.06.27,36800,105N
113,2015.06.21,33300,105N
114,2015.06.18,32000,104S
115,2015.06.10,34300,104S
116,2015.06.10,31000,104S
117,2015.05.23,34000,104S
118,2015.05.18,35000,105N
119,2015.05.12,31000,105N
120,2015.04.30,33000,105N
121,2015.04.28,35000,105N
122,2015.04.21,33000,105N
123,2015.04.20,33200,105N
124,2015.04.20,32000,105N
125,2015.04.18,35500,105N
126,2015.04.16,32500,105N
127,2015.04.10,33200,105N
128,2015.04.06,34850,105N
129,2015.04.01,32500,105N
130,2015.02.28,33000,104S
131,2015.01.19,29000,104S
132,2014.11.11,32000,105N
133,2014.11.01,33500,105N
134,2014.10.16,33800,105N
135,2014.10.15,32400,105N
136,2014.10.06,29200,105N
137,2014.10.01,30500,105N
138,2014.09.27,34900,104S
139,2014.09.16,32000,105N
140,2014.09.15,30500,104S
141,2014.09.01,33000,105N
142,2014.08.30,33700,105N
143,2014.08.29,30000,105N
144,2014.06.26,31700,104S
145,2014.05.19,32000,104S
146,2014.04.15,31000,105N
147,2014.04.10,31000,104S
148,2014.03.13,30000,105N
149,2014.02.20,30000,104S
150,2014.02.13,33000,105N
151,2014.02.04,30000,104S
152,2014.01.11,30000,104S
153,2013.12.23,34300,105N
154,2013.12.02,28500,104S
155,2013.11.05,31000,104S
156,2013.10.16,33000,105N
157,2013.09.17,30000,105N
158,2013.09.11,33000,105N
159,2013.08.27,32000,105N
160,2013.07.12,30500,104S
161,2013.07.10,30000,104S
162,2013.06.08,29500,104S
163,2013.06.06,31500,104S
164,2013.04.29,29300,105N
165,2013.04.16,31000,105N
166,2013.04.12,32000,104S
167,2013.03.18,30000,105N
168,2013.02.23,32500,105N
169,2013.02.01,32300,105N
170,2013.01.18,32500,105N
171,2012.11.07,30000,104S
172,2012.10.15,35300,105N
173,2012.09.28,30950,104S
174,2012.08.22,32000,105N
175,2012.08.16,30000,105N
176,2012.08.10,33700,105N
177,2012.05.01,30000,104S
178,2012.05.01,31300,105N
179,2012.04.20,30000,104S
180,2011.11.04,31500,105N
181,2011.09.26,35000,104S
182,2011.08.03,31500,104S
183,2011.07.27,33200,105N
184,2011.06.04,32000,104S
185,2011.05.11,33300,104S
186,2011.05.10,31000,105N
187,2011.04.21,34500,104S
188,2011.04.13,33500,105N
189,2011.04.01,34900,105N
190,2011.03.11,31200,105N
191,2011.02.19,33900,105N
192,2011.02.16,31400,104S
193,2011.02.15,31600,104S
194,2011.02.10,37000,105N
