0,계약일,가격,타입
1,2019.08.10,35700,99타입
2,2019.08.07,34900,99타입
3,2019.08.05,34000,99타입
4,2019.07.13,35000,99타입
5,2019.07.06,38300,99타입
6,2019.06.29,30000,99타입
7,2019.05.03,35500,99타입
8,2018.11.25,36000,99타입
9,2018.10.13,33000,99타입
10,2018.10.06,32000,99타입
11,2018.09.17,34600,99타입
12,2018.09.08,33000,99타입
13,2018.09.07,32800,99타입
14,2018.08.23,35000,99타입
15,2018.08.17,33000,99타입
16,2018.08.16,33000,99타입
17,2018.07.27,30000,99타입
18,2018.07.04,33800,99타입
19,2018.04.27,33800,99타입
20,2018.02.28,31000,99타입
21,2018.01.08,32400,99타입
22,2017.11.16,32300,99타입
23,2017.11.15,34000,99타입
24,2017.10.28,32850,99타입
25,2017.07.31,32300,99타입
26,2017.07.18,30600,99타입
27,2017.06.28,30500,99타입
28,2017.06.26,31000,99타입
29,2017.05.26,29500,99타입
30,2017.04.22,31700,99타입
31,2017.04.14,32500,99타입
32,2017.03.22,32500,99타입
33,2017.03.14,30000,99타입
34,2017.03.03,30200,99타입
35,2017.03.01,28700,99타입
36,2017.02.20,24300,99타입
37,2017.02.15,29500,99타입
38,2016.12.02,29200,99타입
39,2016.10.21,28500,99타입
40,2016.10.15,26800,99타입
41,2016.10.01,29200,99타입
42,2016.08.16,30900,99타입
43,2016.07.01,25500,99타입
44,2016.06.04,26500,99타입
45,2016.04.11,29500,99타입
46,2016.01.07,28500,99타입
47,2015.12.25,28000,99타입
48,2015.11.29,28000,99타입
49,2015.11.05,28500,99타입
50,2015.10.30,29000,99타입
51,2015.10.08,25700,99타입
52,2015.10.06,28900,99타입
53,2015.08.29,24400,99타입
54,2015.08.05,27000,99타입
55,2015.07.03,30000,99타입
56,2015.04.27,29000,99타입
57,2015.01.31,23500,99타입
58,2015.01.22,28500,99타입
59,2014.11.08,27800,99타입
60,2014.09.26,28500,99타입
61,2014.06.24,28000,99타입
62,2014.05.19,24900,99타입
63,2013.12.24,26500,99타입
64,2013.12.19,25700,99타입
65,2013.10.04,27300,99타입
66,2013.09.24,26000,99타입
67,2013.09.23,27000,99타입
68,2013.08.26,26000,99타입
69,2013.08.15,25400,99타입
70,2013.08.03,26300,99타입
71,2012.06.07,26000,99타입
72,2012.05.08,32000,99타입
73,2012.04.30,24000,99타입
74,2011.10.23,28000,99타입
75,2011.05.04,29000,99타입
76,2010.06.09,24000,99타입
77,2010.04.07,27000,99타입
78,2010.02.01,28000,99타입
79,2009.11.09,30400,99타입
80,2009.08.18,27500,99타입
81,2008.09.29,27000,99타입
82,2008.08.06,34000,99타입
83,2008.07.16,30000,99타입
84,2008.07.12,30700,99타입
85,2008.06.17,31000,99타입
86,2008.04.24,27700,99타입
87,2008.04.15,28000,99타입
88,2008.03.25,27800,99타입
89,2008.03.05,29400,99타입
90,2008.02.01,27000,99타입
91,2008.01.08,27000,99타입
92,2007.10.01,25000,99타입
93,2007.08.23,29700,99타입
94,2007.08.07,27750,99타입
95,2007.05.17,23000,99타입
96,2007.03.21,24500,99타입
97,2006.12.16,21700,99타입
98,2006.11.09,16300,99타입
99,2006.11.06,19000,99타입
100,2006.11.02,17400,99타입
101,2006.11.01,17900,99타입
102,2006.10.29,18300,99타입
103,2006.10.21,17000,99타입
104,2006.09.16,14600,99타입
105,2006.09.15,15700,99타입
106,2006.09.09,16500,99타입
107,2006.09.01,14400,99타입
108,2006.08.21,16400,99타입
109,2006.08.19,16000,99타입
110,2006.08.18,16550,99타입
111,2006.08.08,17300,99타입
112,2006.05.22,16500,99타입
113,2006.05.12,17000,99타입
114,2006.04.14,16300,99타입
115,2006.04.10,16000,99타입
116,2006.02.15,16500,99타입
117,2006.01.10,16500,99타입
