0,계약일,가격,타입
1,2019.11.16,64500,115A
2,2019.10.19,67200,115A
3,2019.10.16,64000,115A
4,2019.09.24,65000,115A
5,2019.09.21,67000,115A
6,2019.08.17,64200,115A
7,2019.04.20,62300,115A
8,2019.03.09,59000,115A
9,2019.01.08,63300,115A
10,2018.12.05,64000,115A
11,2018.11.29,60000,115A
12,2018.10.17,64500,115A
13,2018.09.14,64500,115A
14,2018.09.14,64500,115A
15,2018.09.11,64500,115A
16,2018.09.01,60000,115A
17,2018.08.18,59800,115A
18,2018.08.17,62000,115A
19,2018.08.01,59600,115A
20,2018.04.09,52500,115A
21,2018.03.25,51100,115A
22,2018.03.25,52800,115A
23,2018.03.24,54700,115A
24,2018.03.22,52000,115A
25,2018.03.17,51100,115A
26,2018.03.13,52000,115A
27,2018.02.26,53900,115A
28,2018.02.20,52800,115A
29,2018.02.14,50500,115A
30,2018.02.08,51000,115A
31,2017.12.09,51700,115A
32,2017.11.28,52100,115A
33,2017.10.22,52300,115A
34,2017.09.15,53750,115A
35,2017.08.05,51500,115A
36,2017.07.24,51700,115A
37,2017.06.18,52500,115A
38,2017.06.12,49750,115A
39,2017.06.08,50000,115A
40,2017.05.29,47600,115A
41,2017.05.01,48000,115A
42,2017.04.20,52000,115A
43,2017.04.09,51000,115A
44,2017.04.01,50000,115A
45,2017.03.04,45000,115A
46,2016.11.02,51500,115A
47,2016.09.12,50000,115A
48,2016.06.14,50000,115A
49,2016.05.20,48800,115A
50,2015.11.06,47700,115A
51,2015.06.01,44000,115A
