0,계약일,가격,타입
1,2019.09.26,45800,94타입
2,2019.08.07,42800,94타입
3,2019.07.01,44800,94타입
4,2019.06.09,44000,94타입
5,2018.11.03,42000,94타입
6,2018.09.21,44800,94타입
7,2018.08.17,40000,94타입
8,2018.04.28,40200,94타입
9,2017.09.15,38400,94타입
10,2016.12.20,34000,94타입
11,2016.09.27,36650,94타입
12,2016.07.16,35150,94타입
13,2016.06.28,35000,94타입
14,2016.06.27,35300,94타입
15,2016.04.23,35800,94타입
16,2015.12.26,37000,94타입
17,2015.11.05,34000,94타입
18,2015.09.08,34900,94타입
19,2015.07.23,33000,94타입
20,2015.04.18,32000,94타입
21,2015.02.17,31000,94타입
22,2015.01.28,30000,94타입
23,2014.11.07,28000,94타입
24,2014.08.14,30000,94타입
25,2014.07.03,28500,94타입
26,2014.04.27,29900,94타입
27,2014.03.03,30000,94타입
28,2013.12.20,28300,94타입
29,2013.09.25,28000,94타입
30,2013.08.08,28000,94타입
31,2013.08.06,27500,94타입
32,2013.05.17,27500,94타입
33,2012.06.13,26500,94타입
34,2009.06.12,29950,94타입
35,2008.09.03,31900,94타입
36,2008.06.18,27500,94타입
37,2008.06.12,31000,94타입
38,2008.06.10,31000,94타입
39,2008.04.05,31000,94타입
40,2008.04.03,24500,94타입
41,2008.03.15,28500,94타입
42,2008.03.04,27750,94타입
43,2008.03.01,27100,94타입
44,2007.08.30,28200,94타입
45,2007.08.06,28000,94타입
46,2007.06.27,27600,94타입
47,2007.03.30,26000,94타입
48,2006.12.09,25900,94타입
49,2006.09.28,20500,94타입
50,2006.09.26,21500,94타입
51,2006.09.26,21300,94타입
52,2006.08.01,20500,94타입
53,2019.11.19,47700,107B
54,2019.11.16,48500,107B
55,2019.11.09,48000,107B
56,2019.10.12,49000,107B
57,2019.07.05,44000,107B
58,2019.06.20,47800,107B
59,2019.06.09,48800,107B
60,2019.05.24,45500,107B
61,2019.05.06,48000,107B
62,2019.04.09,47500,107B
63,2018.12.31,40700,107B
64,2018.12.20,49000,107B
65,2018.09.05,45000,107B
66,2018.08.12,39950,107B
67,2018.08.11,42600,107B
68,2018.08.08,42700,107B
69,2018.08.03,41000,107B
70,2018.07.21,42500,107B
71,2018.06.09,41200,107B
72,2018.04.19,44000,107B
73,2018.04.14,41000,107B
74,2018.04.04,40800,107B
75,2018.03.30,39000,107B
76,2018.03.22,41000,107B
77,2018.03.12,41400,107B
78,2018.03.11,40500,107B
79,2018.02.11,40500,107B
80,2018.01.04,40000,107B
81,2017.11.15,40500,107B
82,2017.10.27,40500,107B
83,2017.09.25,41750,107B
84,2017.08.03,40000,107B
85,2017.08.03,40000,107B
86,2017.07.31,40900,107B
87,2017.07.28,40500,107B
88,2017.07.08,39000,107B
89,2017.06.23,40500,107B
90,2017.06.18,39900,107B
91,2017.05.27,40000,107B
92,2017.05.24,39000,107B
93,2017.04.11,42000,107B
94,2017.03.25,39700,107B
95,2017.03.18,41500,107B
96,2017.03.07,39000,107B
97,2017.02.21,40900,107B
98,2017.01.04,38600,107B
99,2016.12.05,40200,107B
100,2016.12.05,39700,107B
101,2016.10.28,40750,107B
102,2016.08.23,39000,107B
103,2016.08.15,37700,107B
104,2016.07.23,38000,107B
105,2016.06.21,37500,107B
106,2016.06.14,38000,107B
107,2016.05.30,37000,107B
108,2016.04.23,34000,107B
109,2016.04.15,37300,107B
110,2016.03.29,34000,107B
111,2016.01.12,36800,107B
112,2015.11.30,36700,107B
113,2015.10.17,38400,107B
114,2015.10.03,37900,107B
115,2015.09.15,38000,107B
116,2015.09.12,37200,107B
117,2015.09.03,38200,107B
118,2015.08.31,36500,107B
119,2015.08.18,32200,107B
120,2015.07.31,29300,107B
121,2015.07.29,31500,107B
122,2015.07.24,33000,107B
123,2015.07.20,35000,107B
124,2015.07.17,32500,107B
125,2015.06.27,34500,107B
126,2015.05.07,35000,107B
127,2015.04.25,34800,107B
128,2015.04.20,30000,107B
129,2015.04.18,30300,107B
130,2015.04.07,31000,107B
131,2015.03.30,35000,107B
132,2015.03.30,35400,107B
