0,계약일,가격,타입
1,2019.11.25,59900,112타입
2,2019.11.16,63900,112타입
3,2019.10.31,60000,112타입
4,2019.10.26,62000,112타입
5,2019.09.02,59000,112타입
6,2019.08.24,61100,112타입
7,2019.08.17,60000,112타입
8,2019.08.15,59750,112타입
9,2019.07.08,60000,112타입
10,2019.05.07,58500,112타입
11,2019.01.17,63500,112타입
12,2018.10.26,53700,112타입
13,2018.10.09,61000,112타입
14,2018.09.14,60000,112타입
15,2018.09.02,52500,112타입
16,2018.08.26,55000,112타입
17,2018.08.17,53800,112타입
18,2018.08.15,53000,112타입
19,2018.08.13,52500,112타입
20,2018.08.09,54500,112타입
21,2018.07.31,53850,112타입
22,2018.07.21,52800,112타입
23,2018.07.10,53000,112타입
24,2018.05.29,55500,112타입
25,2018.05.28,50000,112타입
26,2018.05.12,53700,112타입
27,2018.03.29,50000,112타입
28,2018.03.12,49200,112타입
29,2018.03.03,48500,112타입
30,2018.02.10,49500,112타입
31,2018.02.07,49500,112타입
32,2018.01.19,45300,112타입
33,2017.11.25,49800,112타입
34,2017.10.12,49300,112타입
35,2017.10.07,49500,112타입
36,2017.09.26,49000,112타입
37,2017.09.12,50000,112타입
38,2017.08.25,46600,112타입
39,2017.07.17,47000,112타입
40,2017.07.01,45500,112타입
41,2017.06.16,45300,112타입
42,2017.06.05,44850,112타입
43,2017.05.29,45000,112타입
44,2017.05.19,44000,112타입
45,2017.04.07,46000,112타입
46,2017.03.30,45300,112타입
47,2017.03.01,45900,112타입
48,2017.02.10,45500,112타입
49,2017.02.07,47300,112타입
50,2016.12.20,42500,112타입
51,2016.12.03,45000,112타입
52,2016.10.31,43800,112타입
53,2016.10.26,44700,112타입
54,2016.10.08,45000,112타입
55,2016.10.05,44500,112타입
56,2016.09.27,45500,112타입
57,2016.09.12,45700,112타입
58,2016.09.06,47800,112타입
59,2016.08.19,43300,112타입
60,2016.08.07,45500,112타입
61,2016.07.30,41900,112타입
62,2016.07.29,44500,112타입
63,2016.07.15,46000,112타입
64,2016.07.15,45000,112타입
65,2016.07.10,43000,112타입
66,2016.06.29,42500,112타입
67,2016.06.14,46800,112타입
68,2016.06.06,42600,112타입
69,2016.05.27,44800,112타입
70,2016.04.26,45000,112타입
71,2016.03.29,43800,112타입
72,2016.01.20,44000,112타입
73,2015.12.30,43200,112타입
74,2015.11.29,44000,112타입
75,2015.10.31,44750,112타입
76,2015.10.12,43500,112타입
77,2015.09.11,45000,112타입
78,2015.09.08,43500,112타입
79,2015.07.24,41000,112타입
80,2015.07.12,42500,112타입
81,2015.07.07,43000,112타입
82,2015.06.18,42500,112타입
83,2015.06.17,42000,112타입
84,2015.04.08,40500,112타입
85,2015.04.07,41900,112타입
86,2015.04.02,42500,112타입
87,2015.04.01,40000,112타입
88,2015.03.07,39800,112타입
89,2015.03.03,42000,112타입
90,2015.02.16,41700,112타입
91,2015.01.27,42300,112타입
92,2015.01.16,40350,112타입
93,2014.11.27,38500,112타입
94,2014.11.06,40400,112타입
95,2014.10.20,40500,112타입
96,2014.10.06,41000,112타입
97,2014.10.04,39000,112타입
98,2014.09.23,41400,112타입
99,2014.08.13,41000,112타입
100,2014.07.26,41350,112타입
101,2014.06.04,38000,112타입
102,2014.06.03,39250,112타입
103,2014.05.15,41500,112타입
104,2014.04.21,37450,112타입
105,2014.04.12,41200,112타입
106,2014.04.08,40700,112타입
107,2014.03.24,41000,112타입
108,2014.03.12,40000,112타입
109,2014.03.11,39000,112타입
110,2014.03.10,39000,112타입
111,2014.02.26,38300,112타입
112,2014.02.19,37800,112타입
113,2014.02.10,39500,112타입
114,2014.01.22,41500,112타입
115,2014.01.06,39400,112타입
116,2013.12.13,39000,112타입
117,2013.12.07,40000,112타입
118,2013.10.05,39500,112타입
119,2013.10.05,39500,112타입
120,2013.09.14,38000,112타입
121,2013.09.09,36300,112타입
122,2013.06.09,39000,112타입
123,2013.04.29,39200,112타입
124,2013.04.03,37600,112타입
125,2012.09.08,37000,112타입
126,2012.03.17,39500,112타입
127,2012.03.13,37500,112타입
128,2012.01.28,40600,112타입
129,2011.12.17,37500,112타입
130,2011.12.07,37500,112타입
131,2011.10.13,37200,112타입
132,2011.09.17,37800,112타입
133,2011.08.22,40500,112타입
134,2011.08.22,30000,112타입
135,2011.07.27,40800,112타입
136,2011.07.07,39000,112타입
137,2011.06.24,41000,112타입
138,2011.03.02,41400,112타입
139,2011.03.01,39000,112타입
140,2011.02.13,40000,112타입
141,2011.02.12,42000,112타입
142,2011.02.01,35500,112타입
143,2011.01.18,40000,112타입
144,2011.01.08,39800,112타입
145,2011.01.07,39900,112타입
146,2011.01.03,38800,112타입
147,2010.12.25,38000,112타입
148,2010.12.24,40800,112타입
149,2010.11.24,40500,112타입
150,2010.11.16,40000,112타입
151,2010.11.14,40000,112타입
152,2010.11.13,39000,112타입
153,2010.11.04,40000,112타입
154,2010.10.28,36400,112타입
155,2010.07.13,39000,112타입
156,2010.01.06,41000,112타입
157,2009.11.22,40800,112타입
158,2009.11.07,42600,112타입
159,2009.11.06,42000,112타입
160,2009.09.14,39000,112타입
161,2009.09.10,41600,112타입
162,2009.08.06,41500,112타입
163,2009.07.25,40500,112타입
164,2009.07.21,39500,112타입
165,2009.07.21,38000,112타입
166,2009.07.09,42500,112타입
167,2009.06.15,43000,112타입
168,2009.05.30,40400,112타입
169,2009.05.15,40000,112타입
170,2009.04.17,38000,112타입
171,2009.04.04,38200,112타입
172,2008.09.04,41000,112타입
173,2008.08.29,44300,112타입
174,2008.08.05,43950,112타입
175,2008.06.20,42100,112타입
176,2008.06.16,40800,112타입
177,2008.05.17,39900,112타입
178,2008.05.15,42000,112타입
179,2008.05.13,38500,112타입
180,2008.05.03,45000,112타입
181,2008.04.30,42250,112타입
182,2008.04.23,43000,112타입
183,2008.04.23,42000,112타입
184,2008.02.23,43000,112타입
185,2008.02.16,40000,112타입
186,2008.02.05,39900,112타입
187,2008.01.19,44000,112타입
188,2008.01.08,39000,112타입
189,2007.09.06,44100,112타입
190,2007.08.31,37800,112타입
191,2007.07.21,39000,112타입
192,2007.03.07,36000,112타입
193,2007.02.07,38000,112타입
194,2007.01.07,38850,112타입
195,2006.12.22,33500,112타입
196,2006.12.19,36000,112타입
197,2006.12.16,30000,112타입
198,2006.12.09,38000,112타입
199,2006.11.29,31800,112타입
200,2006.11.03,33950,112타입
201,2006.10.30,30000,112타입
202,2006.10.30,31000,112타입
203,2006.10.24,33500,112타입
204,2006.10.23,28900,112타입
205,2006.09.29,30500,112타입
206,2006.09.22,32000,112타입
207,2006.09.21,31500,112타입
208,2006.09.19,31700,112타입
209,2006.09.18,26000,112타입
210,2006.09.04,31200,112타입
211,2006.08.11,29750,112타입
212,2006.07.31,32000,112타입
213,2006.07.16,31000,112타입
214,2006.07.01,31000,112타입
215,2006.06.09,29000,112타입
216,2006.04.25,30700,112타입
217,2006.03.23,30500,112타입
218,2006.03.02,29000,112타입
