0,계약일,가격,타입
1,2019.04.13,53300,110타입
2,2019.03.30,60000,110타입
3,2019.01.01,52000,110타입
4,2018.10.16,60000,110타입
5,2018.09.08,61600,110타입
6,2018.09.05,55500,110타입
7,2018.09.05,55000,110타입
8,2018.08.30,56500,110타입
9,2018.08.25,57000,110타입
10,2018.04.27,51500,110타입
11,2018.04.17,51800,110타입
12,2018.03.28,46900,110타입
13,2018.03.21,44000,110타입
14,2018.03.19,45000,110타입
15,2018.03.03,49500,110타입
16,2018.03.02,49000,110타입
17,2018.02.21,50700,110타입
18,2018.02.21,49500,110타입
19,2018.02.10,45000,110타입
20,2018.02.03,49500,110타입
21,2018.01.22,53300,110타입
22,2018.01.17,51000,110타입
23,2017.11.19,48700,110타입
24,2017.11.07,48500,110타입
25,2017.11.04,48300,110타입
26,2017.10.20,48000,110타입
27,2017.10.18,48000,110타입
28,2017.10.17,47500,110타입
29,2017.10.12,46000,110타입
30,2017.07.20,46000,110타입
31,2017.06.10,47000,110타입
32,2017.06.08,51000,110타입
33,2017.06.06,48000,110타입
34,2017.05.24,49400,110타입
35,2017.05.19,47800,110타입
36,2017.03.18,47250,110타입
37,2017.03.10,47500,110타입
38,2017.03.05,45000,110타입
39,2017.02.20,43000,110타입
40,2017.01.26,44000,110타입
41,2017.01.17,46000,110타입
42,2016.12.08,44800,110타입
43,2016.11.09,45000,110타입
44,2016.10.29,45500,110타입
45,2016.10.28,46800,110타입
46,2016.09.21,45000,110타입
47,2016.08.09,44000,110타입
48,2016.07.15,44000,110타입
49,2016.07.14,47000,110타입
50,2016.06.16,46000,110타입
51,2016.05.23,45000,110타입
52,2016.05.09,44350,110타입
53,2016.04.24,46400,110타입
54,2016.04.13,45400,110타입
55,2016.04.04,45800,110타입
56,2016.02.20,44700,110타입
57,2016.02.13,44500,110타입
58,2016.01.29,47500,110타입
59,2016.01.18,48500,110타입
60,2016.01.07,44900,110타입
61,2015.09.18,45200,110타입
62,2015.08.30,43500,110타입
63,2015.08.24,43500,110타입
64,2015.08.22,41000,110타입
65,2015.08.21,41000,110타입
66,2015.08.20,44500,110타입
67,2015.08.08,44700,110타입
68,2015.06.25,43650,110타입
69,2015.06.13,48300,110타입
70,2015.04.19,43450,110타입
71,2015.04.18,42500,110타입
72,2015.04.15,43300,110타입
73,2015.03.10,43000,110타입
74,2015.03.04,42800,110타입
75,2015.03.04,41500,110타입
76,2015.02.13,45500,110타입
77,2015.02.06,42600,110타입
78,2015.02.05,43000,110타입
79,2015.02.04,44400,110타입
80,2015.01.27,48000,110타입
81,2014.11.11,40000,110타입
82,2014.11.06,42100,110타입
83,2014.10.11,39700,110타입
84,2014.10.09,41000,110타입
85,2014.09.26,40500,110타입
86,2014.09.24,42300,110타입
87,2014.09.13,41800,110타입
88,2014.07.22,38000,110타입
89,2014.07.05,38500,110타입
90,2014.06.20,41700,110타입
91,2014.05.10,40000,110타입
92,2014.04.28,43000,110타입
93,2014.04.25,41300,110타입
94,2014.04.11,41000,110타입
95,2014.03.24,41000,110타입
96,2014.03.06,40000,110타입
97,2014.02.03,41500,110타입
98,2013.10.22,40000,110타입
99,2013.10.18,39000,110타입
100,2013.10.13,38500,110타입
101,2013.09.07,41000,110타입
102,2013.08.31,38300,110타입
103,2013.07.18,39500,110타입
104,2013.05.21,42000,110타입
105,2013.05.04,38500,110타입
106,2012.12.27,37200,110타입
107,2012.10.25,39700,110타입
108,2012.09.25,39560,110타입
109,2012.07.06,39500,110타입
110,2012.06.20,42000,110타입
111,2012.04.30,39000,110타입
112,2012.04.25,44500,110타입
113,2012.04.11,48200,110타입
114,2012.03.06,47000,110타입
115,2012.02.02,45200,110타입
116,2012.01.25,40000,110타입
117,2011.09.29,47800,110타입
118,2011.09.16,46500,110타입
119,2011.09.01,43000,110타입
120,2011.08.01,50000,110타입
121,2011.07.29,50000,110타입
122,2011.07.29,46300,110타입
123,2011.06.30,47800,110타입
124,2011.06.30,47000,110타입
125,2011.03.30,43500,110타입
126,2011.03.12,41500,110타입
127,2011.02.17,46800,110타입
128,2010.04.27,36500,110타입
129,2010.03.30,40200,110타입
130,2010.03.08,48000,110타입
131,2009.02.18,40000,110타입
132,2009.02.05,39000,110타입
133,2008.08.20,36500,110타입
134,2008.08.01,50500,110타입
