0,계약일,가격,타입
1,2019.10.23,83500,111타입
2,2019.10.17,85000,111타입
3,2019.07.18,81000,111타입
4,2019.05.22,80000,111타입
5,2018.12.21,78700,111타입
6,2018.08.20,72000,111타입
7,2018.08.20,70500,111타입
8,2018.08.04,68000,111타입
9,2018.07.26,68000,111타입
10,2018.06.15,69000,111타입
11,2018.05.18,67000,111타입
12,2018.03.23,68000,111타입
13,2018.01.19,65000,111타입
14,2017.10.19,68000,111타입
15,2017.08.28,61500,111타입
16,2017.08.01,63500,111타입
17,2017.07.11,57000,111타입
18,2017.03.18,54000,111타입
19,2017.01.04,55800,111타입
20,2016.12.28,56000,111타입
21,2016.11.24,56500,111타입
22,2016.10.31,52500,111타입
23,2016.10.21,56750,111타입
24,2016.09.21,57000,111타입
25,2016.08.26,54500,111타입
26,2016.08.11,53500,111타입
27,2016.08.10,53000,111타입
28,2016.08.09,54500,111타입
29,2016.08.01,52800,111타입
30,2016.06.07,54800,111타입
31,2016.05.20,50900,111타입
32,2016.05.03,53700,111타입
33,2016.04.25,52000,111타입
34,2016.04.25,52000,111타입
35,2016.01.27,49000,111타입
36,2015.12.31,52500,111타입
37,2015.12.03,52000,111타입
38,2015.10.21,52500,111타입
39,2015.10.14,52700,111타입
40,2015.08.26,52000,111타입
41,2015.08.05,49000,111타입
42,2015.06.23,52000,111타입
43,2015.06.06,51800,111타입
44,2015.03.14,50000,111타입
45,2014.12.26,49500,111타입
46,2014.11.15,51000,111타입
47,2014.09.04,49800,111타입
48,2014.08.27,49000,111타입
49,2014.06.27,51450,111타입
50,2014.03.31,49300,111타입
51,2014.03.29,51250,111타입
52,2014.02.19,47800,111타입
53,2014.02.07,48000,111타입
54,2014.01.29,50900,111타입
55,2013.12.27,48800,111타입
56,2013.05.30,47250,111타입
57,2013.05.16,48000,111타입
58,2013.05.08,47500,111타입
59,2013.05.04,49000,111타입
60,2013.04.16,49000,111타입
61,2013.02.15,51000,111타입
62,2013.01.15,50000,111타입
63,2013.01.11,50500,111타입
64,2012.11.01,53700,111타입
65,2012.01.09,56500,111타입
66,2011.12.30,52500,111타입
67,2011.12.30,50000,111타입
68,2011.05.31,56000,111타입
69,2011.05.07,57400,111타입
70,2010.12.01,50000,111타입
71,2010.11.17,54700,111타입
72,2010.07.18,45000,111타입
73,2010.04.24,42000,111타입
74,2010.04.03,55000,111타입
75,2009.08.21,52000,111타입
76,2009.07.02,58250,111타입
