,date,value
0,2006 2,0.19
1,2006 3,0.01
2,2006 4,0.01
3,2006 5,-0.1
4,2006 6,0.05
5,2006 7,0.13
6,2006 8,-0.09
7,2006 9,0.04
8,2006 10,0.13
9,2006 11,0.13
10,2006 12,0.02
11,2007 1,0.01
12,2007 2,0.06
13,2007 3,-0.04
14,2007 4,0.01
15,2007 5,-0.03
16,2007 6,-0.01
17,2007 7,0.05
18,2007 8,0.02
19,2007 9,0.02
20,2007 10,-0.02
21,2007 11,-0.03
22,2007 12,0.06
23,2008 1,-0.0
24,2008 2,0.01
25,2008 3,-0.02
26,2008 4,0.04
27,2008 5,0.06
28,2008 6,-0.02
29,2008 7,-0.05
30,2008 8,0.1
31,2008 9,-0.12
32,2008 10,0.09
33,2008 11,-0.02
34,2008 12,-0.1
35,2009 1,0.05
36,2009 2,-0.02
37,2009 3,0.0
38,2009 4,-0.0
39,2009 5,0.05
40,2009 6,-0.04
41,2009 7,0.07
42,2009 8,-0.01
43,2009 9,0.03
44,2009 10,-0.0
45,2009 11,-0.03
46,2009 12,0.02
47,2010 1,0.03
48,2010 2,-0.06
49,2010 3,0.07
50,2010 4,-0.02
51,2010 5,-0.11
52,2010 6,0.1
53,2010 7,-0.06
54,2010 8,-0.02
55,2010 9,-0.06
56,2010 10,0.01
57,2010 11,0.12
58,2010 12,-0.02
59,2011 1,0.01
60,2011 2,0.04
61,2011 3,-0.01
62,2011 4,-0.06
63,2011 5,0.06
64,2011 6,-0.01
65,2011 7,0.01
66,2011 8,-0.05
67,2011 9,0.05
68,2011 10,-0.08
69,2011 11,-0.0
70,2011 12,0.1
71,2012 1,0.01
72,2012 2,-0.08
73,2012 3,-0.01
74,2012 4,-0.01
75,2012 5,-0.07
76,2012 6,0.04
77,2012 7,0.01
78,2012 8,-0.05
79,2012 9,0.03
80,2012 10,0.03
81,2012 11,0.04
82,2012 12,-0.03
83,2013 1,0.09
84,2013 2,-0.1
85,2013 3,0.03
86,2013 4,-0.0
87,2013 5,0.02
88,2013 6,-0.03
89,2013 7,-0.02
90,2013 8,-0.08
91,2013 9,0.07
92,2013 10,0.04
93,2013 11,-0.03
94,2013 12,0.02
95,2014 1,0.04
96,2014 2,0.02
97,2014 3,0.05
98,2014 4,-0.02
99,2014 5,-0.05
100,2014 6,0.05
101,2014 7,-0.02
102,2014 8,0.03
103,2014 9,-0.03
104,2014 10,0.0
105,2014 11,0.0
106,2014 12,0.0
107,2015 1,0.01
108,2015 2,0.0
109,2015 3,0.02
110,2015 4,-0.01
111,2015 5,0.01
112,2015 6,0.02
113,2015 7,-0.02
114,2015 8,0.02
115,2015 9,-0.01
116,2015 10,-0.0
117,2015 11,0.03
118,2015 12,0.1
119,2016 1,-0.07
120,2016 2,0.04
121,2016 3,-0.07
122,2016 4,0.08
123,2016 5,0.02
124,2016 6,-0.06
125,2016 7,0.0
126,2016 8,0.06
127,2016 9,-0.0
128,2016 10,-0.03
129,2016 11,0.08
130,2016 12,-0.07
131,2017 1,0.12
132,2017 2,-0.11
133,2017 3,0.02
134,2017 4,0.02
135,2017 5,0.02
136,2017 6,-0.03
137,2017 7,-0.0
138,2017 8,0.06
139,2017 9,-0.03
140,2017 10,0.06
141,2017 11,-0.06
142,2017 12,0.02
143,2018 1,-0.01
144,2018 2,0.03
145,2018 3,0.01
146,2018 4,-0.03
147,2018 5,0.03
148,2018 6,-0.0
149,2018 7,0.03
150,2018 8,0.04
151,2018 9,0.09
152,2018 10,0.0
153,2018 11,-0.06
154,2018 12,0.12
155,2019 1,0.09
156,2019 2,0.0
157,2019 3,0.0
158,2019 4,-0.04
159,2019 5,0.03
160,2019 6,-0.07
161,2019 7,0.09
162,2019 8,-0.06
163,2019 9,0.16
164,2019 10,0.1
165,2019 11,-0.11
166,2019 12,0.0
