date,value
2006 2,0.58
2006 3,0.82
2006 4,1.02
2006 5,1.19
2006 6,0.56
2006 7,0.22
2006 8,0.23
2006 9,0.53
2006 10,1.57
2006 11,3.78
2006 12,2.25
2007 1,1.37
2007 2,0.48
2007 3,0.26
2007 4,0.22
2007 5,0.04
2007 6,0.15
2007 7,0.26
2007 8,0.26
2007 9,0.32
2007 10,0.42
2007 11,0.41
2007 12,0.28
2008 1,0.42
2008 2,0.39
2008 3,0.87
2008 4,1.4
2008 5,0.9
2008 6,1.04
2008 7,0.66
2008 8,0.38
2008 9,0.43
2008 10,-0.07
2008 11,-0.57
2008 12,-0.92
2009 1,-0.68
2009 2,-0.31
2009 3,-0.23
2009 4,0.05
2009 5,0.16
2009 6,0.2
2009 7,0.34
2009 8,0.32
2009 9,0.79
2009 10,0.39
2009 11,0.31
2009 12,0.16
2010 1,0.13
2010 2,0.35
2010 3,0.26
2010 4,0.18
2010 5,0.01
2010 6,-0.07
2010 7,-0.18
2010 8,-0.1
2010 9,0.11
2010 10,0.22
2010 11,0.45
2010 12,0.5
2011 1,0.56
2011 2,0.95
2011 3,1.15
2011 4,1.46
2011 5,0.26
2011 6,0.62
2011 7,0.53
2011 8,0.63
2011 9,0.63
2011 10,0.45
2011 11,0.5
2011 12,0.16
2012 1,0.28
2012 2,0.01
2012 3,0.02
2012 4,-0.07
2012 5,-0.14
2012 6,-0.31
2012 7,-0.39
2012 8,-0.43
2012 9,-0.34
2012 10,-0.27
2012 11,-0.23
2012 12,-0.28
2013 1,-0.32
2013 2,-0.23
2013 3,-0.1
2013 4,0.18
2013 5,0.25
2013 6,0.08
2013 7,-0.06
2013 8,-0.13
2013 9,0.1
2013 10,0.44
2013 11,0.3
2013 12,0.25
2014 1,0.37
2014 2,0.31
2014 3,0.36
2014 4,0.12
2014 5,0.04
2014 6,0.04
2014 7,0.08
2014 8,0.15
2014 9,0.37
2014 10,0.36
2014 11,0.27
2014 12,0.21
2015 1,0.2
2015 2,0.3
2015 3,0.43
2015 4,0.64
2015 5,0.48
2015 6,0.53
2015 7,0.35
2015 8,0.35
2015 9,0.44
2015 10,0.45
2015 11,0.41
2015 12,0.21
2016 1,0.02
2016 2,-0.01
2016 3,-0.03
2016 4,0
2016 5,0.02
2016 6,0.04
2016 7,0.05
2016 8,0.08
2016 9,0.1
2016 10,0.24
2016 11,0.22
2016 12,0.05
2017 1,0.01
2017 2,-0.01
2017 3,0.03
2017 4,0.06
2017 5,0.11
2017 6,0.22
2017 7,0.15
2017 8,0.24
2017 9,0.05
2017 10,0.07
2017 11,0.07
2017 12,0.08
2018 1,0.14
2018 2,0.2
2018 3,0.1
2018 4,-0.03
2018 5,-0.15
2018 6,-0.15
2018 7,-0.14
2018 8,-0.1
2018 9,0.3
2018 10,0.13
2018 11,-0.03
2018 12,-0.18
2019 1,-0.29
2019 2,-0.25
2019 3,-0.31
2019 4,-0.41
2019 5,-0.32
2019 6,-0.27
2019 7,-0.22
2019 8,-0.14
2019 9,-0.05
2019 10,0.11
2019 11,0.23
