,date,average
0,2006 1,39938
1,2006 2,41825
2,2006 3,46717
3,2006 4,46175
4,2006 5,50895
5,2006 6,46925
6,2006 7,46116
7,2006 8,39633
8,2006 9,58287
9,2006 10,62198
10,2006 11,63993
11,2006 12,62362
12,2007 1,59475
13,2007 2,50000
14,2007 3,45000
15,2007 4,60000
16,2007 5,59250
17,2007 6,60000
18,2007 7,53433
19,2007 8,63466
20,2007 9,58227
21,2007 10,63408
22,2007 11,63410
23,2007 12,50700
24,2008 1,56716
25,2008 2,55030
26,2008 3,57121
27,2008 4,59305
28,2008 5,56586
29,2008 6,59338
30,2008 7,55757
31,2008 8,58225
32,2008 9,56000
33,2008 10,61000
34,2008 11,55250
35,2008 12,53000
36,2009 1,53888
37,2009 2,53818
38,2009 3,53379
39,2009 4,53246
40,2009 5,56792
41,2009 6,58658
42,2009 7,59523
43,2009 8,56459
44,2009 9,60327
45,2009 10,59325
46,2009 11,52440
47,2009 12,56312
48,2010 1,54995
49,2010 2,60962
50,2010 3,59128
51,2010 4,55341
52,2010 5,53425
53,2010 6,49925
54,2010 7,49962
55,2010 8,52166
56,2010 9,55828
57,2010 10,53473
58,2010 11,55688
59,2010 12,55475
60,2011 1,54980
61,2011 2,59508
62,2011 3,58116
63,2011 4,57222
64,2011 5,48008
65,2011 6,43925
66,2011 7,53230
67,2011 8,54850
68,2011 9,44155
69,2011 10,51877
70,2011 11,55168
71,2011 12,53800
72,2012 1,50468
73,2012 2,50992
74,2012 3,48190
75,2012 4,43830
76,2012 5,48550
77,2012 6,54600
78,2012 7,48000
79,2012 8,52580
80,2012 9,49700
81,2012 10,46833
82,2012 11,48522
83,2012 12,41680
84,2013 1,43375
85,2013 2,44600
86,2013 3,49589
87,2013 4,48242
88,2013 5,49205
89,2013 6,41353
90,2013 7,44444
91,2013 8,50414
92,2013 9,53057
93,2013 10,49997
94,2013 11,51180
95,2013 12,50877
96,2014 1,48580
97,2014 2,48463
98,2014 3,51936
99,2014 4,52000
100,2014 5,48603
101,2014 6,53638
102,2014 7,49000
103,2014 8,46167
104,2014 9,54323
105,2014 10,57604
106,2014 11,49360
107,2014 12,52840
108,2015 1,47100
109,2015 2,51989
110,2015 3,53940
111,2015 4,57213
112,2015 5,50847
113,2015 6,52340
114,2015 7,46865
115,2015 8,56940
116,2015 9,55541
117,2015 10,60065
118,2015 11,57791
119,2015 12,54594
120,2016 1,61464
121,2016 2,47846
122,2016 3,58367
123,2016 4,57501
124,2016 5,60562
125,2016 6,62272
126,2016 7,59944
127,2016 8,57858
128,2016 9,63890
129,2016 10,63273
130,2016 11,68807
131,2016 12,56500
132,2017 1,60925
133,2017 2,59966
134,2017 3,66100
135,2017 4,62011
136,2017 5,67665
137,2017 6,62999
138,2017 7,67892
139,2017 8,65800
140,2017 9,75185
141,2017 10,67342
142,2017 11,72752
143,2017 12,70512
144,2018 1,72918
145,2018 2,64666
146,2018 3,73313
147,2018 4,51650
148,2018 5,74435
149,2018 6,73985
150,2018 7,74314
151,2018 8,85413
152,2018 9,96336
153,2018 10,102916
154,2018 11,110333
155,2018 12,0
156,2019 1,0
157,2019 2,96000
158,2019 3,87660
159,2019 4,106000
160,2019 5,99133
161,2019 6,95673
162,2019 7,101163
163,2019 8,96931
164,2019 9,102941
165,2019 10,106693
166,2019 11,104875
167,2019 12,0
