,date,average
0,2006 1,28327
1,2006 2,30459
2,2006 3,32674
3,2006 4,37768
4,2006 5,39340
5,2006 6,28728
6,2006 7,30704
7,2006 8,36796
8,2006 9,36066
9,2006 10,41037
10,2006 11,0
11,2006 12,46330
12,2007 1,45900
13,2007 2,44875
14,2007 3,0
15,2007 4,46750
16,2007 5,40125
17,2007 6,41440
18,2007 7,41533
19,2007 8,42550
20,2007 9,41150
21,2007 10,40794
22,2007 11,43957
23,2007 12,41640
24,2008 1,0
25,2008 2,39420
26,2008 3,42283
27,2008 4,42200
28,2008 5,42650
29,2008 6,39496
30,2008 7,43000
31,2008 8,38357
32,2008 9,37900
33,2008 10,29500
34,2008 11,33350
35,2008 12,32900
36,2009 1,33237
37,2009 2,32509
38,2009 3,33983
39,2009 4,35318
40,2009 5,36763
41,2009 6,36586
42,2009 7,39087
43,2009 8,40259
44,2009 9,37664
45,2009 10,35500
46,2009 11,37375
47,2009 12,37414
48,2010 1,36733
49,2010 2,40125
50,2010 3,35340
51,2010 4,0
52,2010 5,36166
53,2010 6,32400
54,2010 7,35600
55,2010 8,34166
56,2010 9,34000
57,2010 10,35430
58,2010 11,36577
59,2010 12,36350
60,2011 1,38107
61,2011 2,38297
62,2011 3,38382
63,2011 4,40000
64,2011 5,39033
65,2011 6,36706
66,2011 7,35933
67,2011 8,37030
68,2011 9,36700
69,2011 10,38260
70,2011 11,0
71,2011 12,37175
72,2012 1,37750
73,2012 2,38293
74,2012 3,39225
75,2012 4,38390
76,2012 5,38890
77,2012 6,37600
78,2012 7,33500
79,2012 8,40816
80,2012 9,40250
81,2012 10,37092
82,2012 11,36933
83,2012 12,39087
84,2013 1,47638
85,2013 2,36212
86,2013 3,43005
87,2013 4,43333
88,2013 5,40607
89,2013 6,38687
90,2013 7,44600
91,2013 8,36920
92,2013 9,42181
93,2013 10,42424
94,2013 11,41484
95,2013 12,44044
96,2014 1,42687
97,2014 2,42732
98,2014 3,45333
99,2014 4,44275
100,2014 5,48681
101,2014 6,44232
102,2014 7,47901
103,2014 8,49955
104,2014 9,50964
105,2014 10,50978
106,2014 11,51476
107,2014 12,48920
108,2015 1,50582
109,2015 2,50130
110,2015 3,52471
111,2015 4,52419
112,2015 5,52205
113,2015 6,50594
114,2015 7,50867
115,2015 8,51321
116,2015 9,53998
117,2015 10,56577
118,2015 11,57065
119,2015 12,53364
120,2016 1,56303
121,2016 2,56753
122,2016 3,58054
123,2016 4,57995
124,2016 5,53628
125,2016 6,57663
126,2016 7,51815
127,2016 8,58055
128,2016 9,58291
129,2016 10,61775
130,2016 11,55734
131,2016 12,53812
132,2017 1,51986
133,2017 2,59944
134,2017 3,57372
135,2017 4,56801
136,2017 5,58807
137,2017 6,55202
138,2017 7,58864
139,2017 8,58181
140,2017 9,56783
141,2017 10,62871
142,2017 11,60794
143,2017 12,57670
144,2018 1,55970
145,2018 2,60284
146,2018 3,65016
147,2018 4,70150
148,2018 5,77272
149,2018 6,68371
150,2018 7,72937
151,2018 8,72904
152,2018 9,72723
153,2018 10,82488
154,2018 11,67383
155,2018 12,80750
156,2019 1,84833
157,2019 2,68166
158,2019 3,72930
159,2019 4,71400
160,2019 5,81077
161,2019 6,70855
162,2019 7,82750
163,2019 8,80545
164,2019 9,85910
165,2019 10,89317
166,2019 11,83136
167,2019 12,88000
