,date,average
0,2006 1,20175
1,2006 2,23950
2,2006 3,24197
3,2006 4,24512
4,2006 5,21985
5,2006 6,23153
6,2006 7,26109
7,2006 8,23643
8,2006 9,24636
9,2006 10,27848
10,2006 11,31402
11,2006 12,31913
12,2007 1,32181
13,2007 2,34137
14,2007 3,32765
15,2007 4,33218
16,2007 5,32173
17,2007 6,31821
18,2007 7,33390
19,2007 8,34107
20,2007 9,34797
21,2007 10,34252
22,2007 11,33200
23,2007 12,35061
24,2008 1,35053
25,2008 2,35514
26,2008 3,34939
27,2008 4,36386
28,2008 5,38643
29,2008 6,38048
30,2008 7,36070
31,2008 8,39696
32,2008 9,35116
33,2008 10,38250
34,2008 11,37400
35,2008 12,33750
36,2009 1,35340
37,2009 2,34567
38,2009 3,34600
39,2009 4,34537
40,2009 5,36195
41,2009 6,34826
42,2009 7,37142
43,2009 8,36654
44,2009 9,37786
45,2009 10,37654
46,2009 11,36609
47,2009 12,37206
48,2010 1,38244
49,2010 2,36085
50,2010 3,38628
51,2010 4,37840
52,2010 5,33677
53,2010 6,36920
54,2010 7,34887
55,2010 8,34157
56,2010 9,31983
57,2010 10,32375
58,2010 11,36118
59,2010 12,35438
60,2011 1,35693
61,2011 2,37160
62,2011 3,36800
63,2011 4,34585
64,2011 5,36608
65,2011 6,36237
66,2011 7,36768
67,2011 8,34803
68,2011 9,36536
69,2011 10,33661
70,2011 11,33633
71,2011 12,36841
72,2012 1,37309
73,2012 2,34284
74,2012 3,33988
75,2012 4,33817
76,2012 5,31611
77,2012 6,32946
78,2012 7,33112
79,2012 8,31427
80,2012 9,32331
81,2012 10,33243
82,2012 11,34581
83,2012 12,33707
84,2013 1,36621
85,2013 2,33012
86,2013 3,34152
87,2013 4,34104
88,2013 5,34850
89,2013 6,33720
90,2013 7,32994
91,2013 8,30386
92,2013 9,32551
93,2013 10,33932
94,2013 11,32819
95,2013 12,33339
96,2014 1,34761
97,2014 2,35387
98,2014 3,37175
99,2014 4,36252
100,2014 5,34310
101,2014 6,36084
102,2014 7,35456
103,2014 8,36358
104,2014 9,35223
105,2014 10,35286
106,2014 11,35325
107,2014 12,35408
108,2015 1,35902
109,2015 2,35994
110,2015 3,36550
111,2015 4,36139
112,2015 5,36671
113,2015 6,37478
114,2015 7,36685
115,2015 8,37545
116,2015 9,37313
117,2015 10,37144
118,2015 11,38335
119,2015 12,42112
120,2016 1,39008
121,2016 2,40445
122,2016 3,37479
123,2016 4,40332
124,2016 5,41287
125,2016 6,38772
126,2016 7,38859
127,2016 8,41267
128,2016 9,41211
129,2016 10,39993
130,2016 11,43142
131,2016 12,40015
132,2017 1,44880
133,2017 2,39852
134,2017 3,40807
135,2017 4,41588
136,2017 5,42586
137,2017 6,41285
138,2017 7,41179
139,2017 8,43807
140,2017 9,42626
141,2017 10,45022
142,2017 11,42268
143,2017 12,43280
144,2018 1,42710
145,2018 2,44057
146,2018 3,44601
147,2018 4,43280
148,2018 5,44678
149,2018 6,44641
150,2018 7,46006
151,2018 8,47741
152,2018 9,52077
153,2018 10,52091
154,2018 11,48877
155,2018 12,54570
156,2019 1,59600
157,2019 2,0
158,2019 3,52571
159,2019 4,50288
160,2019 5,51582
161,2019 6,47775
162,2019 7,52042
163,2019 8,48855
164,2019 9,56473
165,2019 10,62110
166,2019 11,55055
167,2019 12,0
